"Fips","Less.Than.High.School.Diploma","At.Least.High.School.Diploma","At.Least.Bachelors.s.Degree","Graduate.Degree","School.Enrollment","Median.Earnings.2010","White..Not.Latino..Population","African.American.Population","Native.American.Population","Asian.American.Population","Other.Race.or.Races","Latino.Population","Children.Under.6.Living.in.Poverty","Adults.65.and.Older.Living.in.Poverty","Total.Population","Preschool.Enrollment.Ratio.enrolled.ages.3.and.4","Poverty.Rate.below.federal.poverty.threshold","Gini.Coefficient","Child.Poverty.living.in.families.below.the.poverty.line","Management.professional.and.related.occupations","Service.occupations","Sales.and.office.occupations","Farming.fishing.and.forestry.occupations","Construction.extraction.maintenance.and.repair.occupations","Production.transportation.and.material.moving.occupations","White","Black","Hispanic","Asian","Amerindian","Other","White..Asian","Sire.Homogeneity","Median.Age","lon","lat","Poor.physical.health.days","Poor.mental.health.days","Low.birthweight","Teen.births","Children.in.single.parent.households","Adult.smoking","Adult.obesity","Diabetes","Sexually.transmitted.infections","HIV.prevalence.rate","Uninsured","Unemployment","Violent.crime","Homicide.rate","Injury.deaths","Infant.mortality","CA","S","MAR","CFS","ACFS","Mean.Alc","Max.Alc","Mixedness","elevation","Annual.Prcp","Winter.Prcp","Summer.Prcp","Spring.Prcp","Autumn.Prcp","Annual.Tavg","Annual.Tmax","Annual.Tmin","Winter.Tavg","Winter.Tmax","Winter.Tmin","Summer.Tavg","Summer.Tmax","Summer.Tmin","Spring.Tavg","Spring.Tmax","Spring.Tmin","Autumn.Tavg","Autumn.Tmax","Autumn.Tmin","Nearest.County","temp","precip","Temp.Bins","Lat.Bins","Lon.Bins","Precip.Bins","Elevation.Bins"
42053,"19.3","80.7","9.6","5.2","54.7","15871.75397","76.8","17.4","0.2","0.15","0.55","4.9","22.3","6.9",7263,"60.3","12.6","0.399","16.45","20.4","23.25","21.0","1.4","11.85","22.1","76.8","17.4","4.9","0.15","0.2","0.55","76.95","0.6225375","42.4","-79.249705","41.513304","4.8","7.3","","13.1","0.264","0.335","0.325","0.112","92.2","140.0","0.139","0.095","283.66","","73.8","","0.5226023362945761","-0.41184843123859805","1.27015614787614","0.000171937872706","0.000171937872706","0.000191389727807","0.001246493969863","1.34796887509654","408.075","","","","","","","","","","","","","","","","","","","","",42053,"","","",NA,"(-82.1,-78.2]","","(396,572]"
5067,"27.7","72.3","7.0","2.2","72.4","19088.797145","78.0","17.95","0.55","0.15","1.25","2.1","48.7","19.1",17517,"58.8","27.55","0.451","43.05","22.4","17.9","24.5","2.85","9.75","22.55","78.0","17.95","2.1","0.15","0.55","1.25","78.15","0.6412500000000001","40.0","-91.223178","35.5966053","4.7","4.7","0.11","75.8","0.438","0.27","0.371","0.138","554.1","131.0","0.20500000000000002","0.096","461.01","","99.9","","-0.22860778352944103","-2.09274341286064","0.36026471579046704","-0.000180305945973","0.000180305945973","0.00021334600950699998","0.000681247080235","0.26300210857907","70.8333333333333","","","","","","","","","","","","","","","","","","","","",5067,"","","",NA,"(-93.6,-90.4]","","(38.9,105]"
6071,"22.5","77.5","18.4","6.3","75.75","29159.6873","34.8","8.45","0.45","5.85","2.5","47.9","22.8","9.25",2010922,"40.4","14.55","0.422","20.1","27.7","17.6","27.1","0.35000000000000003","11.5","15.8","34.8","8.45","47.9","5.85","0.45","2.5","40.65","0.36175275","31.2","-116.1811967","34.8572198","4.2","4.1","0.07","45.5","0.343","0.162","0.28200000000000003","0.085","530.0","200.9","0.217","0.12","451.22","8.17","45.5","6.6","-1.69679073092759","-0.323902092077399","0.7021269455792261","4.8155607459521306e-05","4.8155607459521306e-05","4.5752297777744e-05","0.000233534336091","-0.333076673984453","1041.94285714286","875.142857142857","409.285714285714","152.285714285714","158.857142857143","154.714285714286","","","","","","","","","","","","","","","",6071,"","222.286285714286","",NA,"[-164,-109]","[123,444]","(1.01e+03,3.06e+03]"
13121,"10.4","89.6","47.6","17.7","78.8","34953.15397","42.25","43.0","0.15","4.85","1.7000000000000002","8.0","23.3","12.5",953864,"62.2","15.35","0.529","22.1","45.95","14.7","25.9","0.1","5.65","7.65","42.25","43.0","8.0","4.85","0.15","1.7000000000000002","47.1","0.37244975","34.0","-84.4681816","33.7900338","2.4","2.7","0.11","44.2","0.41300000000000003","0.133","0.229","0.079","785.2","1268.7","0.224","0.096","840.82","13.8","59.8","8.1","-0.40180968190487204","-0.22677719255018502","1.66965142898843","0.000269194719701","0.000269194719701","0.000292431015357","0.0017890259763800001","2.57805704249648","266.25","5134.5","1318.5","1396.0","1239.5","1180.5","","","","","","","","","","","","","","","",13121,"","1304.163","",NA,"(-84.5,-82.1]","(1.27e+03,1.39e+03]","(259,317]"
17175,"12.0","88.0","15.2","3.8","77.9","27232.339365","97.25","0.30000000000000004","0.1","0.4","0.85","1.15","15.5","4.75",6035,"38.8","11.45","0.447","17.75","30.05","15.95","22.25","1.7000000000000002","7.85","22.15","97.25","0.30000000000000004","1.15","0.4","0.1","0.85","97.65","0.94598675","41.6","-89.7974111","41.0969077","","","0.09","29.8","0.226","","0.318","0.098","211.8","","0.122","0.09","132.13","","","","1.05696719147406","0.20842483672894702","0.47150761972894","1.0531289182214002e-05","1.0531289182214002e-05","5.766968959770512e-05","0.000156393858481","-0.792193238680826","229.35","3703.5","554.25","1217.5","1022.0","909.75","","","","","","","","","","","","","","","",17175,"","940.689","",NA,"(-90.4,-87.2]","(932,1.03e+03]","(216,259]"
2130,"7.5","92.5","24.2","7.6","67.4","32047.14381","67.75","0.35000000000000003","13.35","6.4","8.25","3.85","17.05","8.65",13304,"52.3","8.8","0.394","11.0","27.95","15.9","25.15","1.45","11.55","18.05","67.75","0.35000000000000003","3.85","6.4","13.35","8.25","74.15","0.48922525","38.3","-131.1066847","55.4499378","3.6","3.2","0.05","30.4","0.328","0.225","0.292","0.07200000000000001","588.5","60.0","0.259","0.068","370.89","","74.7","","-0.358995624404347","0.37210396932197404","0.695967111664002","4.3764084537656304e-05","4.3764084537656304e-05","0.00012005143450700001","0.0006365305972230001","-0.195311216942528","21.95","13134.5","3894.5","1935.0","2542.5","4762.5","462.5","518.0","406.5","363.0","408.0","317.5","577.0","641.5","513.0","444.0","508.0","380.0","465.5","514.5","415.5",2130,"7.91666666666667","3336.163","6.44,8.12",NA,"[-164,-109]","(1.39e+03,4.3e+03]","[-12.3,38.9]"
24005,"11.2","88.8","35.2","14.8","78.65","37536.546665","64.7","24.95","0.25","4.55","1.9500000000000002","3.6","11.35","7.5",795863,"55.6","7.95","0.438","9.9","41.6","14.95","27.0","0.1","7.65","8.75","64.7","24.95","3.6","4.55","0.25","1.9500000000000002","69.25","0.484612","38.9","-76.6165693","39.4431666","3.3","3.5","0.09","25.6","0.34400000000000003","0.17","0.276","0.097","392.5","449.5","0.11","0.073","547.43","6.3","60.1","7.9","0.45389422423540504","0.474627398178994","0.8627081797207161","2.1908705995277204e-05","2.1908705995277204e-05","0.00021751272637599999","0.000744446085895","0.131042726063221","","","","","","","","","","","","","","","","","","","","","",NA,"","","",NA,"(-78.2,178]","",""
29083,"16.3","83.7","15.1","5.0","72.8","23999.14857","95.3","1.1","0.35000000000000003","0.2","1.55","1.55","21.0","12.75",22283,"36.9","16.45","0.442","21.05","26.45","19.2","22.6","0.8","12.85","18.1","95.3","1.1","1.55","0.2","0.35000000000000003","1.55","95.5","0.90882675","43.3","-93.7926278","38.3864909","4.0","4.8","0.07","52.9","0.273","0.265","0.331","0.105","256.5","57.0","0.182","0.074","336.76","","90.3","","-0.67134812226344","-0.44858362334884805","0.47674397433923105","1.9207840474988503e-05","1.9207840474988503e-05","2.17561854758956e-05","9.67969705121252e-05","-0.823138902191328","254.5","4313.0","588.5","1376.0","1255.0","1093.5","","","","","","","","","","","","","","","",29083,"","1095.502","",NA,"(-96.7,-93.6]","(1.03e+03,1.12e+03]","(216,259]"
1063,"27.4","72.6","9.9","4.7","79.85","20350.601905","18.7","79.95","0.1","0.15","0.35000000000000003","0.8","52.65","22.2",9078,"71.0","31.0","0.484","41.25","22.1","17.1","20.4","2.2","12.1","26.2","18.7","79.95","0.8","0.15","0.1","0.35000000000000003","18.85","0.6742487500000001","41.9","-87.9642005","32.8444965","5.1","5.3","0.16","52.7","0.495","0.181","0.47900000000000004","0.194","1636.6","242.8","0.177","0.114","1111.29","18.27","82.0","","-2.65974310361729","-3.08915122887155","1.45713666129513","-0.00031951578590600003","0.00031951578590600003","0.0008806602058430002","0.002469810231319","3.88193000420964","34.7333333333333","","","","","","","","","","","","","","","","","","","","",1063,"","","",NA,"(-90.4,-87.2]","","[-12.3,38.9]"
48181,"14.8","85.2","19.2","5.7","75.5","26806.03905","79.6","5.65","1.3","0.85","2.0","10.55","23.75","9.1",119395,"40.7","13.4","0.424","19.2","30.2","17.8","26.2","0.75","10.6","14.5","79.6","5.65","10.55","0.85","1.3","2.0","80.45","0.64857975","38.9","-96.6756986","33.6245082","5.3","4.6","0.08","57.8","0.37","0.19","0.27","0.10200000000000001","327.0","86.8","0.243","0.07200000000000001","279.57","4.6","75.3","4.9","0.657307713324613","-0.238582060778037","0.505113280580349","4.46168486673559e-05","4.46168486673559e-05","4.4687056350316904e-05","0.00024214312848000002","-0.607846762805892","225.85","4258.0","805.5","966.5","1281.5","1204.5","","","","","","","","","","","","","","","",48181,"","1081.532","",NA,"(-96.7,-93.6]","(1.03e+03,1.12e+03]","(216,259]"
