"State","Fips","Republicans.2016","Democrats.2016","Republicans.2012","Democrats.2012","Republicans.2008","Democrats.2008","consistency_dem","consistency_rep"
"Georgia","13231",0.838386167146974,0.142824207492795,0.822296214083117,0.167221605623381,0.798122638059247,0.192002925758869,0.870932591065776,1.03028804706336
"Utah","49051",0.50453795379538,0.252722772277228,0.752946084054646,0.228490979247054,0.636502168561716,0.33899894502403,0.67401678560049,1.18294347017867
"Washington","53021",0.551787796346677,0.380829770695686,0.607163361745352,0.370887249922713,0.611139317627945,0.373730706742486,0.992391696030127,0.993494190656846
"Nebraska","31119",0.753654342218401,0.190813986815706,0.724666906733885,0.250990277277638,0.687433250266999,0.294909220363119,0.851076398929122,1.05416330451346
"Florida","12045",0.730869624948482,0.235609286989971,0.702729319077096,0.283342712436691,0.6911866759195,0.298265093684941,0.949969401166291,1.01669974778122
"Georgia","13267",0.74022386974851,0.243930803895915,0.705864706764662,0.284535773211339,0.704498063747394,0.287756925826631,0.988805994482885,1.00193988186426
"Wisconsin","55083",0.665278056615138,0.295422605902429,0.54086308474747,0.44639709955184,0.46156684943062,0.523355124420076,0.852952572207042,1.17179794305997
"Alabama","1059",0.791802593057298,0.183772480133835,0.695432405109825,0.291425420457678,0.688275036346532,0.296673223295989,0.982311167890353,1.01039899514776
"Washington","53015",0.52909750467187,0.392261185006046,0.464948453608247,0.509323173464814,0.432333237524597,0.543832496849367,0.936544205091681,1.07543999223931
"Missouri","29061",0.748983464353483,0.197885605855245,0.650383413802897,0.319511502414087,0.597728473322768,0.369783412572636,0.864050391528381,1.08809173869102
"Mississippi","28033",0.658445534347568,0.310705694917372,0.66205125087394,0.327917439280178,0.68749902834134,0.305131912379709,1.07467434894884,0.962984998642405
"Montana","30007",0.750805931656995,0.182462927143778,0.714712720026569,0.253736300232481,0.66797292483078,0.305308158175989,0.831082607645944,1.06997258939444
"Wisconsin","55041",0.618371422232083,0.351231417794542,0.467297762478485,0.521729776247849,0.419175742045697,0.570787956438181,0.914051830216489,1.11480153932081
"West Virginia","54055",0.757537414372355,0.204590078101139,0.726170332769318,0.255311148712164,0.630101798116259,0.354390638378841,0.720422948755317,1.15246510157607
"Missouri","29081",0.805268875611081,0.155893536121673,0.710148849797023,0.266305818673884,0.641634738186462,0.328735632183908,0.81009112673524,1.1067805521319
"Alabama","1117",0.734275461656318,0.231100314490767,0.770265898945462,0.216201936555175,0.761890052182739,0.227541012543715,0.950166891402215,1.01099351112241
"California","6115",0.584718396808814,0.343527400512869,0.572335025380711,0.391421319796954,0.561048549133218,0.414279706555768,0.944823783552292,1.02011675507392
"Illinois","17137",0.6202505647977,0.321284315739029,0.565550510783201,0.41188989784336,0.49443105581971,0.486354458412037,0.846892406801808,1.14384099486951
"Nebraska","31163",0.735994848679974,0.217643271088216,0.605882352941176,0.36078431372549,0.604325699745547,0.372137404580153,0.969492207139266,1.00257585139319
"Oregon","41011",0.586428547761837,0.343096650210397,0.511503869483372,0.447779404587604,0.496074440244257,0.465283835740364,0.962379025858685,1.03110305225868
"Kentucky","21107",0.751044688068433,0.211887321173984,0.692113117822634,0.292861840441139,0.615877610088898,0.367169733305768,0.797619776021279,1.12378353504803
"Maryland","24009",0.568074577051444,0.38368051559443,0.526209411661321,0.451008392284371,0.524207276936696,0.460744036135007,0.978869734414135,1.00381935698475
"Minnesota","27127",0.678958498546127,0.249405233941316,0.586649550706033,0.386136071887035,0.551883166794773,0.416346400204971,0.927439439123136,1.06299591290884
"Colorado","8077",0.642782734120412,0.279902772584006,0.650773849507176,0.326894868877404,0.640203357699875,0.344788958940702,0.948101325175047,1.01651114709126
