state,county,fipscode,fipscode2,office,district,total.votes,party,candidate,votes,state_county,result
CT,New Milford,9005.0,900552630.0,US Senate,statewide,11660,Democrat,Christopher S Murphy,5780,CT New Milford,0.4957118353344768
CT,New Milford,9005.0,900552630.0,US Senate,statewide,11660,Republican,Matthew Corey,5347,CT New Milford,0.4585763293310463
CT,Newington,9003.0,900352140.0,US Senate,statewide,13492,Democrat,Christopher S Murphy,7568,CT Newington,0.5609249925882004
CT,Newington,9003.0,900352140.0,US Senate,statewide,13492,Republican,Matthew Corey,5329,CT Newington,0.3949747998814112
CT,Newtown,9001.0,900152980.0,US Senate,statewide,13422,Democrat,Christopher S Murphy,7221,CT Newtown,0.537997317836388
CT,Newtown,9001.0,900152980.0,US Senate,statewide,13422,Republican,Matthew Corey,5779,CT Newtown,0.43056176426762033
CT,Norfolk,9005.0,900553470.0,US Senate,statewide,889,Democrat,Christopher S Murphy,538,CT Norfolk,0.6051743532058492
CT,Norfolk,9005.0,900553470.0,US Senate,statewide,889,Republican,Matthew Corey,326,CT Norfolk,0.36670416197975253
CT,North Branford,9009.0,900953890.0,US Senate,statewide,6421,Democrat,Christopher S Murphy,2691,CT North Branford,0.4190935991278617
CT,North Branford,9009.0,900953890.0,US Senate,statewide,6421,Republican,Matthew Corey,3467,CT North Branford,0.5399470487463012
CT,North Canaan,9005.0,900554030.0,US Senate,statewide,1516,Democrat,Christopher S Murphy,753,CT North Canaan,0.4967018469656992
CT,North Canaan,9005.0,900554030.0,US Senate,statewide,1516,Republican,Matthew Corey,694,CT North Canaan,0.4577836411609499
CT,North Haven,9009.0,900954870.0,US Senate,statewide,11899,Democrat,Christopher S Murphy,5580,CT North Haven,0.46894697033364147
