state,county,fipscode,fipscode2,office,district,total.votes,party,candidate,votes,state_county,result
CT,Roxbury,9005.0,900565930.0,US Senate,statewide,1340,Democrat,Christopher S Murphy,713,CT Roxbury,0.5320895522388059
CT,Roxbury,9005.0,900565930.0,US Senate,statewide,1340,Republican,Matthew Corey,579,CT Roxbury,0.43208955223880596
CT,Salem,9011.0,901166210.0,US Senate,statewide,2048,Democrat,Christopher S Murphy,989,CT Salem,0.48291015625
CT,Salem,9011.0,901166210.0,US Senate,statewide,2048,Republican,Matthew Corey,980,CT Salem,0.478515625
CT,Salisbury,9005.0,900566420.0,US Senate,statewide,2127,Democrat,Christopher S Murphy,1603,CT Salisbury,0.7536436295251528
CT,Salisbury,9005.0,900566420.0,US Senate,statewide,2127,Republican,Matthew Corey,456,CT Salisbury,0.2143864598025388
CT,Scotland,9015.0,901567400.0,US Senate,statewide,770,Democrat,Christopher S Murphy,315,CT Scotland,0.4090909090909091
CT,Scotland,9015.0,901567400.0,US Senate,statewide,770,Republican,Matthew Corey,417,CT Scotland,0.5415584415584416
CT,Seymour,9009.0,900967610.0,US Senate,statewide,6870,Democrat,Christopher S Murphy,2883,CT Seymour,0.4196506550218341
CT,Seymour,9009.0,900967610.0,US Senate,statewide,6870,Republican,Matthew Corey,3666,CT Seymour,0.5336244541484716
CT,Sharon,9005.0,900567960.0,US Senate,statewide,1344,Democrat,Christopher S Murphy,835,CT Sharon,0.6212797619047619
CT,Sharon,9005.0,900567960.0,US Senate,statewide,1344,Republican,Matthew Corey,463,CT Sharon,0.3444940476190476
CT,Shelton,9001.0,900168170.0,US Senate,statewide,17605,Democrat,Christopher S Murphy,7493,CT Shelton,0.4256177222380006
CT,Shelton,9001.0,900168170.0,US Senate,statewide,17605,Republican,Matthew Corey,9564,CT Shelton,0.5432547571712582
CT,Sherman,9001.0,900168310.0,US Senate,statewide,1831,Democrat,Christopher S Murphy,939,CT Sherman,0.5128345166575642
CT,Sherman,9001.0,900168310.0,US Senate,statewide,1831,Republican,Matthew Corey,835,CT Sherman,0.4560349535772802
CT,Simsbury,9003.0,900368940.0,US Senate,statewide,12893,Democrat,Christopher S Murphy,7369,CT Simsbury,0.5715504537345847
CT,Simsbury,9003.0,900368940.0,US Senate,statewide,12893,Republican,Matthew Corey,5125,CT Simsbury,0.39750252074769254
CT,Somers,9013.0,901369220.0,US Senate,statewide,4341,Democrat,Christopher S Murphy,1760,CT Somers,0.405436535360516
CT,Somers,9013.0,901369220.0,US Senate,statewide,4341,Republican,Matthew Corey,2412,CT Somers,0.5556323427781618
CT,South Windsor,9003.0,900371390.0,US Senate,statewide,12177,Democrat,Christopher S Murphy,7005,CT South Windsor,0.5752648435575265
CT,South Windsor,9003.0,900371390.0,US Senate,statewide,12177,Republican,Matthew Corey,4716,CT South Windsor,0.38728750923872873
CT,Southbury,9009.0,900969640.0,US Senate,statewide,10221,Democrat,Christopher S Murphy,4760,CT Southbury,0.4657078563741317
CT,Southbury,9009.0,900969640.0,US Senate,statewide,10221,Republican,Matthew Corey,5172,CT Southbury,0.5060170237745818
CT,Southington,9003.0,900370550.0,US Senate,statewide,20298,Democrat,Christopher S Murphy,9122,CT Southington,0.4494038821558774
CT,Southington,9003.0,900370550.0,US Senate,statewide,20298,Republican,Matthew Corey,10342,CT Southington,0.5095083259434428
CT,Sprague,9011.0,901171670.0,US Senate,statewide,1252,Democrat,Christopher S Murphy,551,CT Sprague,0.44009584664536744
CT,Sprague,9011.0,901171670.0,US Senate,statewide,1252,Republican,Matthew Corey,623,CT Sprague,0.4976038338658147
CT,Stafford,9013.0,901372090.0,US Senate,statewide,4971,Democrat,Christopher S Murphy,2199,CT Stafford,0.4423657211828606
CT,Stafford,9013.0,901372090.0,US Senate,statewide,4971,Republican,Matthew Corey,2494,CT Stafford,0.5017099175216254
CT,Stamford,9001.0,900173070.0,US Senate,statewide,43056,Democrat,Christopher S Murphy,29253,CT Stamford,0.679417502787068
CT,Stamford,9001.0,900173070.0,US Senate,statewide,43056,Republican,Matthew Corey,12651,CT Stamford,0.2938266443701226
CT,Sterling,9015.0,901573420.0,US Senate,statewide,1286,Democrat,Christopher S Murphy,449,CT Sterling,0.34914463452566097
CT,Sterling,9015.0,901573420.0,US Senate,statewide,1286,Republican,Matthew Corey,735,CT Sterling,0.5715396578538102
CT,Stonington,9011.0,901173770.0,US Senate,statewide,9185,Democrat,Christopher S Murphy,5746,CT Stonington,0.625585193249864
CT,Stonington,9011.0,901173770.0,US Senate,statewide,9185,Republican,Matthew Corey,3110,CT Stonington,0.3385955362003266
CT,Stratford,9001.0,900174190.0,US Senate,statewide,21011,Democrat,Christopher S Murphy,12488,CT Stratford,0.5943553376802627
CT,Stratford,9001.0,900174190.0,US Senate,statewide,21011,Republican,Matthew Corey,7723,CT Stratford,0.3675693684260625
CT,Suffield,9003.0,900374540.0,US Senate,statewide,6383,Democrat,Christopher S Murphy,3025,CT Suffield,0.4739150869497102
CT,Suffield,9003.0,900374540.0,US Senate,statewide,6383,Republican,Matthew Corey,3126,CT Suffield,0.48973836753877487
CT,Thomaston,9005.0,900575730.0,US Senate,statewide,3367,Democrat,Christopher S Murphy,1097,CT Thomaston,0.3258093258093258
CT,Thomaston,9005.0,900575730.0,US Senate,statewide,3367,Republican,Matthew Corey,2134,CT Thomaston,0.6337986337986338
CT,Thompson,9015.0,901575870.0,US Senate,statewide,3629,Democrat,Christopher S Murphy,1591,CT Thompson,0.4384127858914301
CT,Thompson,9015.0,901575870.0,US Senate,statewide,3629,Republican,Matthew Corey,1844,CT Thompson,0.5081289611463213
CT,Tolland,9013.0,901376290.0,US Senate,statewide,7404,Democrat,Christopher S Murphy,3699,CT Tolland,0.49959481361426256
CT,Tolland,9013.0,901376290.0,US Senate,statewide,7404,Republican,Matthew Corey,3410,CT Tolland,0.46056185845488923
CT,Torrington,9005.0,900576570.0,US Senate,statewide,12691,Democrat,Christopher S Murphy,5247,CT Torrington,0.4134425971160665
CT,Torrington,9005.0,900576570.0,US Senate,statewide,12691,Republican,Matthew Corey,6837,CT Torrington,0.5387282326057836
CT,Trumbull,9001.0,900177200.0,US Senate,statewide,16883,Democrat,Christopher S Murphy,8575,CT Trumbull,0.5079073624355861
CT,Trumbull,9001.0,900177200.0,US Senate,statewide,16883,Republican,Matthew Corey,7863,CT Trumbull,0.46573476277912695
CT,Union,9013.0,901377830.0,US Senate,statewide,459,Democrat,Christopher S Murphy,185,CT Union,0.40305010893246185
CT,Union,9013.0,901377830.0,US Senate,statewide,459,Republican,Matthew Corey,246,CT Union,0.5359477124183006
CT,Vernon,9013.0,901378250.0,US Senate,statewide,11521,Democrat,Christopher S Murphy,6464,CT Vernon,0.5610624077771027
CT,Vernon,9013.0,901378250.0,US Senate,statewide,11521,Republican,Matthew Corey,4518,CT Vernon,0.39215345890113706
CT,Voluntown,9011.0,901178600.0,US Senate,statewide,1190,Democrat,Christopher S Murphy,454,CT Voluntown,0.3815126050420168
CT,Voluntown,9011.0,901178600.0,US Senate,statewide,1190,Republican,Matthew Corey,666,CT Voluntown,0.5596638655462185
CT,Wallingford,9009.0,900978740.0,US Senate,statewide,19234,Democrat,Christopher S Murphy,9536,CT Wallingford,0.4957887074971405
CT,Wallingford,9009.0,900978740.0,US Senate,statewide,19234,Republican,Matthew Corey,8806,CT Wallingford,0.4578350837059374
CT,Warren,9005.0,900579510.0,US Senate,statewide,765,Democrat,Christopher S Murphy,344,CT Warren,0.4496732026143791
CT,Warren,9005.0,900579510.0,US Senate,statewide,765,Republican,Matthew Corey,388,CT Warren,0.5071895424836601
CT,Washington,9005.0,900579720.0,US Senate,statewide,1926,Democrat,Christopher S Murphy,1176,CT Washington,0.6105919003115264
CT,Washington,9005.0,900579720.0,US Senate,statewide,1926,Republican,Matthew Corey,678,CT Washington,0.35202492211838005
CT,Waterbury,9009.0,900980070.0,US Senate,statewide,25632,Democrat,Christopher S Murphy,15149,CT Waterbury,0.591019038701623
CT,Waterbury,9009.0,900980070.0,US Senate,statewide,25632,Republican,Matthew Corey,9423,CT Waterbury,0.367626404494382
CT,Waterford,9011.0,901180280.0,US Senate,statewide,9295,Democrat,Christopher S Murphy,5084,CT Waterford,0.5469607315761162
CT,Waterford,9011.0,901180280.0,US Senate,statewide,9295,Republican,Matthew Corey,3706,CT Waterford,0.39870898332436794
CT,Watertown,9005.0,900580490.0,US Senate,statewide,9991,Democrat,Christopher S Murphy,3363,CT Watertown,0.33660294264838353
CT,Watertown,9005.0,900580490.0,US Senate,statewide,9991,Republican,Matthew Corey,6237,CT Watertown,0.6242618356520869
CT,West Hartford,9003.0,900382590.0,US Senate,statewide,29990,Democrat,Christopher S Murphy,21278,CT West Hartford,0.7095031677225742
CT,West Hartford,9003.0,900382590.0,US Senate,statewide,29990,Republican,Matthew Corey,7652,CT West Hartford,0.2551517172390797
CT,West Haven,9009.0,900982870.0,US Senate,statewide,16859,Democrat,Christopher S Murphy,10446,CT West Haven,0.6196097040156593
CT,West Haven,9009.0,900982870.0,US Senate,statewide,16859,Republican,Matthew Corey,5699,CT West Haven,0.33803902959843407
CT,Westbrook,9007.0,900781680.0,US Senate,statewide,3393,Democrat,Christopher S Murphy,1660,CT Westbrook,0.48924255820807544
CT,Westbrook,9007.0,900781680.0,US Senate,statewide,3393,Republican,Matthew Corey,1591,CT Westbrook,0.46890657235484823
CT,Weston,9001.0,900183430.0,US Senate,statewide,5120,Democrat,Christopher S Murphy,3437,CT Weston,0.6712890625
CT,Weston,9001.0,900183430.0,US Senate,statewide,5120,Republican,Matthew Corey,1608,CT Weston,0.3140625
CT,Westport,9001.0,900183500.0,US Senate,statewide,14058,Democrat,Christopher S Murphy,9742,CT Westport,0.6929862000284536
CT,Westport,9001.0,900183500.0,US Senate,statewide,14058,Republican,Matthew Corey,4118,CT Westport,0.29292929292929293
CT,Wethersfield,9003.0,900384900.0,US Senate,statewide,12601,Democrat,Christopher S Murphy,7032,CT Wethersfield,0.5580509483374335
CT,Wethersfield,9003.0,900384900.0,US Senate,statewide,12601,Republican,Matthew Corey,5054,CT Wethersfield,0.40107927942226806
CT,Willington,9013.0,901385950.0,US Senate,statewide,2587,Democrat,Christopher S Murphy,1326,CT Willington,0.5125628140703518
CT,Willington,9013.0,901385950.0,US Senate,statewide,2587,Republican,Matthew Corey,1138,CT Willington,0.43989176652493234
CT,Wilton,9001.0,900186370.0,US Senate,statewide,9255,Democrat,Christopher S Murphy,5351,CT Wilton,0.5781739600216099
CT,Wilton,9001.0,900186370.0,US Senate,statewide,9255,Republican,Matthew Corey,3713,CT Wilton,0.4011885467314965
CT,Winchester,9005.0,900586440.0,US Senate,statewide,4127,Democrat,Christopher S Murphy,1674,CT Winchester,0.40562151684031983
CT,Winchester,9005.0,900586440.0,US Senate,statewide,4127,Republican,Matthew Corey,2244,CT Winchester,0.5437363702447299
CT,Windham,9015.0,901586790.0,US Senate,statewide,6647,Democrat,Christopher S Murphy,4429,CT Windham,0.6663156311117797
CT,Windham,9015.0,901586790.0,US Senate,statewide,6647,Republican,Matthew Corey,1778,CT Windham,0.2674890928238303
CT,Windsor,9003.0,900387000.0,US Senate,statewide,13971,Democrat,Christopher S Murphy,9988,CT Windsor,0.7149094553002648
CT,Windsor,9003.0,900387000.0,US Senate,statewide,13971,Republican,Matthew Corey,3484,CT Windsor,0.24937370266981604
CT,Windsor Locks,9003.0,900387070.0,US Senate,statewide,5092,Democrat,Christopher S Murphy,2575,CT Windsor Locks,0.505695208169678
CT,Windsor Locks,9003.0,900387070.0,US Senate,statewide,5092,Republican,Matthew Corey,2314,CT Windsor Locks,0.4544383346425766
CT,Wolcott,9009.0,900987560.0,US Senate,statewide,7765,Democrat,Christopher S Murphy,2454,CT Wolcott,0.3160334835801674
CT,Wolcott,9009.0,900987560.0,US Senate,statewide,7765,Republican,Matthew Corey,5040,CT Wolcott,0.6490663232453316
CT,Woodbridge,9009.0,900987700.0,US Senate,statewide,4775,Democrat,Christopher S Murphy,2996,CT Woodbridge,0.627434554973822
CT,Woodbridge,9009.0,900987700.0,US Senate,statewide,4775,Republican,Matthew Corey,1645,CT Woodbridge,0.34450261780104713
CT,Woodbury,9005.0,900587910.0,US Senate,statewide,5220,Democrat,Christopher S Murphy,2367,CT Woodbury,0.453448275862069
CT,Woodbury,9005.0,900587910.0,US Senate,statewide,5220,Republican,Matthew Corey,2693,CT Woodbury,0.5159003831417625
CT,Woodstock,9015.0,901588190.0,US Senate,statewide,3699,Democrat,Christopher S Murphy,1777,CT Woodstock,0.4804001081373344
CT,Woodstock,9015.0,901588190.0,US Senate,statewide,3699,Republican,Matthew Corey,1767,CT Woodstock,0.47769667477696676
DE,Kent,10001.0,1000100000.0,US Senate,statewide,59753,Republican,ARLETT ROBERT B,27210,DE Kent,0.4553746255418138
DE,Kent,10001.0,1000100000.0,US Senate,statewide,59753,Democrat,CARPER THOMAS R,31282,DE Kent,0.523521831539839
DE,New Castle,10003.0,1000300000.0,US Senate,statewide,210323,Republican,ARLETT ROBERT B,59526,DE New Castle,0.2830218283307104
DE,New Castle,10003.0,1000300000.0,US Senate,statewide,210323,Democrat,CARPER THOMAS R,145428,DE New Castle,0.6914507685797558
DE,Sussex,10005.0,1000500000.0,US Senate,statewide,92530,Republican,ARLETT ROBERT B,50391,DE Sussex,0.544590943477791
DE,Sussex,10005.0,1000500000.0,US Senate,statewide,92530,Democrat,CARPER THOMAS R,40675,DE Sussex,0.4395871609207824
FL,Alachua,12001.0,1200100000.0,US Senate,statewide,115112,Democrat,"Nelson, Bill",74493,FL Alachua,0.6471349642087706
FL,Alachua,12001.0,1200100000.0,US Senate,statewide,115112,Republican,"Scott, Rick",40599,FL Alachua,0.35269129195913546
FL,Baker,12003.0,1200300000.0,US Senate,statewide,10525,Democrat,"Nelson, Bill",1945,FL Baker,0.1847980997624703
FL,Baker,12003.0,1200300000.0,US Senate,statewide,10525,Republican,"Scott, Rick",8579,FL Baker,0.8151068883610452
FL,Bay,12005.0,1200500000.0,US Senate,statewide,63411,Democrat,"Nelson, Bill",16723,FL Bay,0.2637239595653751
FL,Bay,12005.0,1200500000.0,US Senate,statewide,63411,Republican,"Scott, Rick",46681,FL Bay,0.7361656494929901
FL,Bradford,12007.0,1200700000.0,US Senate,statewide,10456,Democrat,"Nelson, Bill",2879,FL Bradford,0.2753442999234889
FL,Bradford,12007.0,1200700000.0,US Senate,statewide,10456,Republican,"Scott, Rick",7576,FL Bradford,0.7245600612088753
FL,Brevard,12009.0,1200900000.0,US Senate,statewide,281473,Democrat,"Nelson, Bill",121112,FL Brevard,0.430279280783592
FL,Brevard,12009.0,1200900000.0,US Senate,statewide,281473,Republican,"Scott, Rick",160305,FL Brevard,0.5695217658532079
FL,Broward,12011.0,1201100000.0,US Senate,statewide,683636,Democrat,"Nelson, Bill",472239,FL Broward,0.6907755004125002
FL,Broward,12011.0,1201100000.0,US Senate,statewide,683636,Republican,"Scott, Rick",211397,FL Broward,0.30922449958749976
FL,Calhoun,12013.0,1201300000.0,US Senate,statewide,4619,Democrat,"Nelson, Bill",1033,FL Calhoun,0.22364148084000865
FL,Calhoun,12013.0,1201300000.0,US Senate,statewide,4619,Republican,"Scott, Rick",3586,FL Calhoun,0.7763585191599913
FL,Charlotte,12015.0,1201500000.0,US Senate,statewide,86457,Democrat,"Nelson, Bill",33525,FL Charlotte,0.3877650161351886
FL,Charlotte,12015.0,1201500000.0,US Senate,statewide,86457,Republican,"Scott, Rick",52916,FL Charlotte,0.6120499207698624
FL,Citrus,12017.0,1201700000.0,US Senate,statewide,70683,Democrat,"Nelson, Bill",22660,FL Citrus,0.320586279586322
FL,Citrus,12017.0,1201700000.0,US Senate,statewide,70683,Republican,"Scott, Rick",48008,FL Citrus,0.6792015053124514
FL,Clay,12019.0,1201900000.0,US Senate,statewide,93368,Democrat,"Nelson, Bill",27718,FL Clay,0.29686830605775
FL,Clay,12019.0,1201900000.0,US Senate,statewide,93368,Republican,"Scott, Rick",65639,FL Clay,0.7030138805586497
FL,Collier,12021.0,1202100000.0,US Senate,statewide,155662,Democrat,"Nelson, Bill",54390,FL Collier,0.34941090311058576
FL,Collier,12021.0,1202100000.0,US Senate,statewide,155662,Republican,"Scott, Rick",101266,FL Collier,0.6505505518366718
FL,Columbia,12023.0,1202300000.0,US Senate,statewide,24745,Democrat,"Nelson, Bill",7505,FL Columbia,0.30329359466558903
FL,Columbia,12023.0,1202300000.0,US Senate,statewide,24745,Republican,"Scott, Rick",17234,FL Columbia,0.6964639321074965
FL,DeSoto,12027.0,1202700000.0,US Senate,statewide,8831,Democrat,"Nelson, Bill",3328,FL DeSoto,0.3768542633903295
FL,DeSoto,12027.0,1202700000.0,US Senate,statewide,8831,Republican,"Scott, Rick",5503,FL DeSoto,0.6231457366096704
FL,Dixie,12029.0,1202900000.0,US Senate,statewide,5764,Democrat,"Nelson, Bill",1322,FL Dixie,0.22935461485079806
FL,Dixie,12029.0,1202900000.0,US Senate,statewide,5764,Republican,"Scott, Rick",4442,FL Dixie,0.7706453851492019
FL,Duval,12031.0,1203100000.0,US Senate,statewide,378330,Democrat,"Nelson, Bill",192381,FL Duval,0.5085005154230434
FL,Duval,12031.0,1203100000.0,US Senate,statewide,378330,Republican,"Scott, Rick",185904,FL Duval,0.49138054079771626
FL,Escambia,12033.0,1203300000.0,US Senate,statewide,128855,Democrat,"Nelson, Bill",52891,FL Escambia,0.41046913197004387
FL,Escambia,12033.0,1203300000.0,US Senate,statewide,128855,Republican,"Scott, Rick",75947,FL Escambia,0.5893989367894145
FL,Flagler,12035.0,1203500000.0,US Senate,statewide,52897,Democrat,"Nelson, Bill",21419,FL Flagler,0.4049189935157003
FL,Flagler,12035.0,1203500000.0,US Senate,statewide,52897,Republican,"Scott, Rick",31467,FL Flagler,0.5948730551827136
FL,Franklin,12037.0,1203700000.0,US Senate,statewide,5415,Democrat,"Nelson, Bill",2011,FL Franklin,0.3713758079409049
FL,Franklin,12037.0,1203700000.0,US Senate,statewide,5415,Republican,"Scott, Rick",3404,FL Franklin,0.6286241920590951
FL,Gadsden,12039.0,1203900000.0,US Senate,statewide,19997,Democrat,"Nelson, Bill",13945,FL Gadsden,0.6973546031904786
FL,Gadsden,12039.0,1203900000.0,US Senate,statewide,19997,Republican,"Scott, Rick",6051,FL Gadsden,0.30259538930839625
FL,Gilchrist,12041.0,1204100000.0,US Senate,statewide,7336,Democrat,"Nelson, Bill",1633,FL Gilchrist,0.2226008724100327
FL,Gilchrist,12041.0,1204100000.0,US Senate,statewide,7336,Republican,"Scott, Rick",5703,FL Gilchrist,0.7773991275899673
FL,Glades,12043.0,1204300000.0,US Senate,statewide,3823,Democrat,"Nelson, Bill",1156,FL Glades,0.3023803295840963
FL,Glades,12043.0,1204300000.0,US Senate,statewide,3823,Republican,"Scott, Rick",2666,FL Glades,0.6973580957363327
FL,Gulf,12045.0,1204500000.0,US Senate,statewide,5901,Democrat,"Nelson, Bill",1580,FL Gulf,0.26775122860532113
FL,Gulf,12045.0,1204500000.0,US Senate,statewide,5901,Republican,"Scott, Rick",4321,FL Gulf,0.7322487713946789
FL,Hamilton,12047.0,1204700000.0,US Senate,statewide,4527,Democrat,"Nelson, Bill",1671,FL Hamilton,0.36911862160371106
FL,Hamilton,12047.0,1204700000.0,US Senate,statewide,4527,Republican,"Scott, Rick",2856,FL Hamilton,0.6308813783962889
FL,Hardee,12049.0,1204900000.0,US Senate,statewide,6371,Democrat,"Nelson, Bill",1916,FL Hardee,0.30073771778370745
FL,Hardee,12049.0,1204900000.0,US Senate,statewide,6371,Republican,"Scott, Rick",4455,FL Hardee,0.6992622822162926
FL,Hendry,12051.0,1205100000.0,US Senate,statewide,8846,Democrat,"Nelson, Bill",3542,FL Hendry,0.40040696359936695
FL,Hendry,12051.0,1205100000.0,US Senate,statewide,8846,Republican,"Scott, Rick",5304,FL Hendry,0.5995930364006331
FL,Hernando,12053.0,1205300000.0,US Senate,statewide,80313,Democrat,"Nelson, Bill",30798,FL Hernando,0.38347465541070563
FL,Hernando,12053.0,1205300000.0,US Senate,statewide,80313,Republican,"Scott, Rick",49501,FL Hernando,0.6163510266083947
FL,Highlands,12055.0,1205500000.0,US Senate,statewide,39686,Democrat,"Nelson, Bill",13398,FL Highlands,0.3376001612659376
FL,Highlands,12055.0,1205500000.0,US Senate,statewide,39686,Republican,"Scott, Rick",26282,FL Highlands,0.6622486519175528
FL,Hillsborough,12057.0,1205700000.0,US Senate,statewide,521374,Democrat,"Nelson, Bill",281661,FL Hillsborough,0.5402283197857968
FL,Hillsborough,12057.0,1205700000.0,US Senate,statewide,521374,Republican,"Scott, Rick",239641,FL Hillsborough,0.4596335835695681
FL,Holmes,12059.0,1205900000.0,US Senate,statewide,6775,Democrat,"Nelson, Bill",856,FL Holmes,0.1263468634686347
FL,Holmes,12059.0,1205900000.0,US Senate,statewide,6775,Republican,"Scott, Rick",5919,FL Holmes,0.8736531365313653
FL,Indian River,12061.0,1206100000.0,US Senate,statewide,74004,Democrat,"Nelson, Bill",29195,FL Indian River,0.39450570239446514
FL,Indian River,12061.0,1206100000.0,US Senate,statewide,74004,Republican,"Scott, Rick",44798,FL Indian River,0.605345656991514
FL,Jackson,12063.0,1206300000.0,US Senate,statewide,15974,Democrat,"Nelson, Bill",5182,FL Jackson,0.3244021534994366
FL,Jackson,12063.0,1206300000.0,US Senate,statewide,15974,Republican,"Scott, Rick",10791,FL Jackson,0.6755352447727557
FL,Jefferson,12065.0,1206500000.0,US Senate,statewide,7327,Democrat,"Nelson, Bill",3626,FL Jefferson,0.4948819434966562
FL,Jefferson,12065.0,1206500000.0,US Senate,statewide,7327,Republican,"Scott, Rick",3699,FL Jefferson,0.5048450934898321
FL,Lafayette,12067.0,1206700000.0,US Senate,statewide,2818,Democrat,"Nelson, Bill",623,FL Lafayette,0.22107877927608233
FL,Lafayette,12067.0,1206700000.0,US Senate,statewide,2818,Republican,"Scott, Rick",2195,FL Lafayette,0.7789212207239177
FL,Lake,12069.0,1206900000.0,US Senate,statewide,154954,Democrat,"Nelson, Bill",61402,FL Lake,0.3962595350878325
FL,Lake,12069.0,1206900000.0,US Senate,statewide,154954,Republican,"Scott, Rick",93537,FL Lake,0.60364366199001
FL,Lee,12071.0,1207100000.0,US Senate,statewide,289214,Democrat,"Nelson, Bill",114857,FL Lee,0.39713499346504666
FL,Lee,12071.0,1207100000.0,US Senate,statewide,289214,Republican,"Scott, Rick",174316,FL Lee,0.6027232429965355
FL,Leon,12073.0,1207300000.0,US Senate,statewide,139898,Democrat,"Nelson, Bill",91097,FL Leon,0.65116727901757
FL,Leon,12073.0,1207300000.0,US Senate,statewide,139898,Republican,"Scott, Rick",48767,FL Leon,0.34858968677179086
FL,Levy,12075.0,1207500000.0,US Senate,statewide,16980,Democrat,"Nelson, Bill",5319,FL Levy,0.3132508833922262
FL,Levy,12075.0,1207500000.0,US Senate,statewide,16980,Republican,"Scott, Rick",11658,FL Levy,0.6865724381625442
FL,Liberty,12077.0,1207700000.0,US Senate,statewide,2708,Democrat,"Nelson, Bill",632,FL Liberty,0.23338257016248154
FL,Liberty,12077.0,1207700000.0,US Senate,statewide,2708,Republican,"Scott, Rick",2076,FL Liberty,0.7666174298375185
FL,Madison,12079.0,1207900000.0,US Senate,statewide,7609,Democrat,"Nelson, Bill",3425,FL Madison,0.4501248521487712
FL,Madison,12079.0,1207900000.0,US Senate,statewide,7609,Republican,"Scott, Rick",4184,FL Madison,0.5498751478512288
FL,Manatee,12081.0,1208100000.0,US Senate,statewide,163295,Democrat,"Nelson, Bill",68877,FL Manatee,0.42179491105055267
FL,Manatee,12081.0,1208100000.0,US Senate,statewide,163295,Republican,"Scott, Rick",94390,FL Manatee,0.5780336201353379
FL,Marion,12083.0,1208300000.0,US Senate,statewide,154661,Democrat,"Nelson, Bill",59025,FL Marion,0.3816411377140973
FL,Marion,12083.0,1208300000.0,US Senate,statewide,154661,Republican,"Scott, Rick",95592,FL Marion,0.6180743691040405
FL,Martin,12085.0,1208500000.0,US Senate,statewide,77436,Democrat,"Nelson, Bill",30691,FL Martin,0.3963402035229092
FL,Martin,12085.0,1208500000.0,US Senate,statewide,77436,Republican,"Scott, Rick",46733,FL Martin,0.6035048297949275
FL,Miami-Dade,12086.0,1208600000.0,US Senate,statewide,801547,Democrat,"Nelson, Bill",485496,FL Miami-Dade,0.6056987300807064
FL,Miami-Dade,12086.0,1208600000.0,US Senate,statewide,801547,Republican,"Scott, Rick",316020,FL Miami-Dade,0.3942625947074844
FL,Monroe,12087.0,1208700000.0,US Senate,statewide,36090,Democrat,"Nelson, Bill",18051,FL Monroe,0.500166251039069
FL,Monroe,12087.0,1208700000.0,US Senate,statewide,36090,Republican,"Scott, Rick",18035,FL Monroe,0.499722914934885
FL,Nassau,12089.0,1208900000.0,US Senate,statewide,43501,Democrat,"Nelson, Bill",11703,FL Nassau,0.26902829820004137
FL,Nassau,12089.0,1208900000.0,US Senate,statewide,43501,Republican,"Scott, Rick",31795,FL Nassau,0.730902737868095
FL,Okaloosa,12091.0,1209100000.0,US Senate,statewide,83845,Democrat,"Nelson, Bill",22902,FL Okaloosa,0.27314687816804817
FL,Okaloosa,12091.0,1209100000.0,US Senate,statewide,83845,Republican,"Scott, Rick",60924,FL Okaloosa,0.7266265132088974
FL,Okeechobee,12093.0,1209300000.0,US Senate,statewide,11224,Democrat,"Nelson, Bill",3496,FL Okeechobee,0.3114754098360656
FL,Okeechobee,12093.0,1209300000.0,US Senate,statewide,11224,Republican,"Scott, Rick",7727,FL Okeechobee,0.6884354953670706
FL,Orange,12095.0,1209500000.0,US Senate,statewide,475141,Democrat,"Nelson, Bill",294308,FL Orange,0.619411921934752
FL,Orange,12095.0,1209500000.0,US Senate,statewide,475141,Republican,"Scott, Rick",180763,FL Orange,0.3804407533763662
FL,Osceola,12097.0,1209700000.0,US Senate,statewide,115029,Democrat,"Nelson, Bill",67123,FL Osceola,0.5835311095462883
FL,Osceola,12097.0,1209700000.0,US Senate,statewide,115029,Republican,"Scott, Rick",47898,FL Osceola,0.4163993427744308
FL,Palm Beach,12099.0,1209900000.0,US Senate,statewide,588894,Democrat,"Nelson, Bill",344008,FL Palm Beach,0.5841594582386643
FL,Palm Beach,12099.0,1209900000.0,US Senate,statewide,588894,Republican,"Scott, Rick",244850,FL Palm Beach,0.4157794102164396
FL,Pasco,12101.0,1210100000.0,US Senate,statewide,210710,Democrat,"Nelson, Bill",89447,FL Pasco,0.4245028712448389
FL,Pasco,12101.0,1210100000.0,US Senate,statewide,210710,Republican,"Scott, Rick",121212,FL Pasco,0.5752550899340325
FL,Pinellas,12103.0,1210300000.0,US Senate,statewide,434774,Democrat,"Nelson, Bill",228712,FL Pinellas,0.5260480157507119
FL,Pinellas,12103.0,1210300000.0,US Senate,statewide,434774,Republican,"Scott, Rick",205935,FL Pinellas,0.4736598784655936
FL,Polk,12105.0,1210500000.0,US Senate,statewide,244544,Democrat,"Nelson, Bill",105748,FL Polk,0.43242933786966764
FL,Polk,12105.0,1210500000.0,US Senate,statewide,244544,Republican,"Scott, Rick",138751,FL Polk,0.5673866461659252
FL,Putnam,12107.0,1210700000.0,US Senate,statewide,28038,Democrat,"Nelson, Bill",9344,FL Putnam,0.3332620015692988
FL,Putnam,12107.0,1210700000.0,US Senate,statewide,28038,Republican,"Scott, Rick",18689,FL Putnam,0.6665596690206149
FL,Santa Rosa,12113.0,1211300000.0,US Senate,statewide,75431,Democrat,"Nelson, Bill",19047,FL Santa Rosa,0.25250891543264703
FL,Santa Rosa,12113.0,1211300000.0,US Senate,statewide,75431,Republican,"Scott, Rick",56374,FL Santa Rosa,0.7473585130781774
