county,state,population,# total covid cases,# covid cases per 100k,# covid deaths,# covid deaths per 100k,case_fatality_rate
Dewey County,South Dakota,5892,490,8316.4,2,33.94,0.004
Randolph County,Missouri,24748,795,3212.4,3,12.12,0.004
Searcy County,Arkansas,7881,226,2867.7,1,12.69,0.004
Summit County,Colorado,31011,904,2915.1,4,12.9,0.004
Kenai Peninsula Borough,Alaska,58707,1070,1822.6,4,6.81,0.004
Garfield County,Colorado,60062,1347,2242.7,5,8.32,0.004
Glenn County,California,28394,716,2521.7,3,10.57,0.004
Yuma County,Colorado,10019,243,2425.4,1,9.98,0.004
Ray County,Missouri,23018,391,1698.7,2,8.69,0.005
Pondera County,Montana,5911,200,3383.5,1,16.92,0.005
Lewis and Clark County,Montana,69431,1311,1888.2,7,10.08,0.005
Henry County,Iowa,19954,1255,6289.5,6,30.07,0.005
Crowley County,Colorado,6061,201,3316.3,1,16.5,0.005
Madison County,Missouri,12088,578,4781.6,3,24.82,0.005
Palo Alto County,Iowa,8886,388,4366.4,2,22.51,0.005
Osage County,Missouri,13615,650,4774.1,3,22.03,0.005
La Plata County,Colorado,56222,431,766.6,2,3.56,0.005
Payne County,Oklahoma,81784,3106,3797.8,15,18.34,0.005
Mitchell County,Iowa,10586,392,3703.0,2,18.89,0.005
"Juneau, City and Borough of",Alaska,31975,550,1720.1,3,9.38,0.005
Johnson County,Iowa,151140,6668,4411.8,33,21.83,0.005
Mills County,Iowa,15109,547,3620.4,3,19.86,0.005
Davis County,Utah,355482,10047,2826.3,46,12.94,0.005
Texas County,Oklahoma,19983,1924,9628.2,10,50.04,0.005
Washita County,Oklahoma,10916,208,1905.5,1,9.16,0.005
Pontotoc County,Oklahoma,38284,1026,2680.0,5,13.06,0.005
Antelope County,Nebraska,6298,204,3239.1,1,15.88,0.005
Burt County,Nebraska,6459,206,3189.3,1,15.48,0.005
Centre County,Pennsylvania,162385,4500,2771.2,21,12.93,0.005
Lancaster County,Virginia,10603,210,1980.6,1,9.43,0.005
Jefferson County,Idaho,29871,1101,3685.8,5,16.74,0.005
Chautauqua County,New York,126899,1094,862.1,5,3.94,0.005
Yancey County,North Carolina,18069,375,2075.4,2,11.07,0.005
St. Francis County,Arkansas,24994,1830,7321.8,10,40.01,0.005
Madison County,Kentucky,92988,2586,2781.0,14,15.06,0.005
Cavalier County,North Dakota,3762,209,5555.6,1,26.58,0.005
Franklin County,Florida,12125,791,6523.7,4,32.99,0.005
Del Norte County,California,27812,203,729.9,1,3.6,0.005
Rockcastle County,Kentucky,16695,410,2455.8,2,11.98,0.005
Riley County,Kansas,74231,2397,3229.1,12,16.17,0.005
Power County,Idaho,7681,395,5142.6,2,26.04,0.005
Rice County,Kansas,9537,188,1971.3,1,10.49,0.005
Mercer County,North Dakota,8187,582,7108.8,3,36.64,0.005
Haskell County,Kansas,3968,184,4637.1,1,25.2,0.005
Canadian County,Oklahoma,148308,4478,3019.4,24,16.18,0.005
Cherokee County,Oklahoma,48657,1514,3111.6,8,16.44,0.005
Lancaster County,Nebraska,319088,10580,3315.7,49,15.36,0.005
Weber County,Utah,260215,7929,3047.1,36,13.83,0.005
Clay County,Nebraska,6203,221,3562.8,1,16.12,0.005
Chase County,Nebraska,3924,188,4791.0,1,25.48,0.005
"Anchorage, Municipality of",Alaska,288000,9326,3238.2,51,17.71,0.005
Juneau County,Wisconsin,26687,1056,3957.0,5,18.74,0.005
Carbon County,Utah,20463,371,1813.0,2,9.77,0.005
Hand County,South Dakota,3191,186,5828.9,1,31.34,0.005
Lyon County,Minnesota,25474,1176,4616.5,6,23.55,0.005
Wright County,Minnesota,138379,3514,2539.4,18,13.01,0.005
Pierce County,Wisconsin,42754,1275,2982.2,7,16.37,0.005
Sublette County,Wyoming,9831,211,2146.3,1,10.17,0.005
Carbon County,Wyoming,14800,375,2533.8,2,13.51,0.005
Becker County,Minnesota,34423,860,2498.3,4,11.62,0.005
Hemphill County,Texas,3819,187,4896.6,1,26.19,0.005
Clayton County,Iowa,17549,654,3726.7,3,17.09,0.005
Brookings County,South Dakota,35077,1675,4775.2,9,25.66,0.005
St. Croix County,Wisconsin,90688,2576,2840.5,14,15.44,0.005
Lincoln County,Minnesota,5639,222,3936.9,1,17.73,0.005
Mecosta County,Michigan,43452,732,1684.6,4,9.21,0.005
Sheboygan County,Wisconsin,115341,6102,5290.4,32,27.74,0.005
Deuel County,South Dakota,4351,217,4987.4,1,22.98,0.005
Ogle County,Illinois,50643,1718,3392.4,8,15.8,0.005
Trempealeau County,Wisconsin,29649,1333,4495.9,6,20.24,0.005
Butler County,Missouri,42478,1500,3531.2,8,18.83,0.005
Menard County,Illinois,12196,209,1713.7,1,8.2,0.005
McLeod County,Minnesota,35892,756,2106.3,4,11.14,0.005
La Crosse County,Wisconsin,118015,5343,4527.4,26,22.03,0.005
Washington County,Illinois,13887,396,2851.6,2,14.4,0.005
Big Stone County,Minnesota,4991,200,4007.2,1,20.04,0.005
Dallas County,Missouri,16878,437,2589.2,2,11.85,0.005
Monroe County,Wisconsin,46253,1501,3245.2,8,17.3,0.005
Cooper County,Missouri,17709,816,4607.8,4,22.59,0.005
Buena Vista County,Iowa,19620,2438,12426.1,12,61.16,0.005
Jones County,Texas,20083,613,3052.3,3,14.94,0.005
Audubon County,Iowa,5496,219,3984.7,1,18.19,0.005
Newaygo County,Michigan,48979,847,1729.3,4,8.17,0.005
Ontonagon County,Michigan,5720,187,3269.2,1,17.48,0.005
Clearwater County,Minnesota,8818,196,2222.7,1,11.34,0.005
McKenzie County,North Dakota,15024,660,4393.0,4,26.62,0.006
Tripp County,South Dakota,5441,312,5734.2,2,36.76,0.006
Teton County,Idaho,12142,345,2841.4,2,16.47,0.006
Dickenson County,Virginia,14318,169,1180.3,1,6.98,0.006
Grainger County,Tennessee,23320,727,3117.5,4,17.15,0.006
Franklin County,Virginia,56041,1090,1945.0,7,12.49,0.006
Seward County,Kansas,21428,2302,10743.0,13,60.67,0.006
Chambers County,Texas,43837,1627,3711.5,10,22.81,0.006
Miami County,Indiana,35516,900,2534.1,5,14.08,0.006
Roane County,Tennessee,53383,1612,3019.7,10,18.73,0.006
Bath County,Kentucky,12500,154,1232.0,1,8.0,0.006
Archer County,Texas,8553,171,1999.3,1,11.69,0.006
Pitt County,North Carolina,180742,6568,3633.9,41,22.68,0.006
Breathitt County,Kentucky,12630,181,1433.1,1,7.92,0.006
Lincoln County,North Carolina,86110,2675,3106.5,16,18.58,0.006
Crittenden County,Kentucky,8806,181,2055.4,1,11.36,0.006
Jackson County,North Carolina,43938,1167,2656.0,7,15.93,0.006
Bradley County,Tennessee,108110,3894,3601.9,24,22.2,0.006
Ramsey County,North Dakota,11519,722,6267.9,4,34.73,0.006
Clay County,Iowa,16016,666,4158.3,4,24.97,0.006
Walsh County,North Dakota,10641,899,8448.5,5,46.99,0.006
Crawford County,Pennsylvania,84627,687,811.8,4,4.73,0.006
Logan County,Illinois,28618,805,2812.9,5,17.47,0.006
Cherokee County,Iowa,11235,500,4450.4,3,26.7,0.006
Jackson County,Iowa,19439,889,4573.3,5,25.72,0.006
Butler County,Iowa,14439,521,3608.3,3,20.78,0.006
Jackson County,Arkansas,16719,977,5843.7,6,35.89,0.006
Box Elder County,Utah,56047,1236,2205.3,8,14.27,0.006
Elmore County,Idaho,27511,633,2300.9,4,14.54,0.006
Somerset County,Pennsylvania,73444,531,723.0,3,4.08,0.006
Newport County,Rhode Island,82080,797,971.0,5,6.09,0.006
Grundy County,Illinois,51054,1405,2752.0,8,15.67,0.006
Pocahontas County,Iowa,6619,317,4789.2,2,30.22,0.006
Richland County,North Dakota,16177,671,4147.9,4,24.73,0.006
Vermillion County,Indiana,15498,343,2213.2,2,12.9,0.006
Clark County,South Dakota,3736,158,4229.1,1,26.77,0.006
Marshall County,Oklahoma,16931,346,2043.6,2,11.81,0.006
Allen County,Kansas,12369,175,1414.8,1,8.08,0.006
Custer County,Oklahoma,29003,1185,4085.8,7,24.14,0.006
Edmunds County,South Dakota,3829,173,4518.2,1,26.12,0.006
Decatur County,Kansas,2827,168,5942.7,1,35.37,0.006
Douglas County,Kansas,122261,3275,2678.7,19,15.54,0.006
Lawrence County,South Dakota,25844,1253,4848.3,7,27.09,0.006
Finney County,Kansas,36467,3391,9298.8,20,54.84,0.006
Geary County,Kansas,31669,630,1989.3,4,12.63,0.006
Jefferson County,Ohio,65326,630,964.4,4,6.12,0.006
Linn County,Kansas,9703,158,1628.4,1,10.31,0.006
Salt Lake County,Utah,1160444,54332,4682.0,325,28.01,0.006
Warren County,Iowa,51465,1563,3037.0,9,17.49,0.006
Oswego County,New York,117133,711,607.0,4,3.41,0.006
Ashe County,North Carolina,27203,535,1966.7,3,11.03,0.006
Mono County,California,14444,335,2319.3,2,13.85,0.006
Washburn County,Wisconsin,15720,323,2054.7,2,12.72,0.006
Lincoln County,Nebraska,34914,1322,3786.4,8,22.91,0.006
Howard County,Missouri,10001,316,3159.7,2,20.0,0.006
Pend Oreille County,Washington,13724,158,1151.3,1,7.29,0.006
Price County,Wisconsin,13351,493,3692.6,3,22.47,0.006
Butler County,Nebraska,8016,334,4166.7,2,24.95,0.006
Hampshire County,West Virginia,23174,171,737.9,1,4.32,0.006
Sutter County,California,96972,1992,2054.2,12,12.37,0.006
Ravalli County,Montana,43806,628,1433.6,4,9.13,0.006
Eagle County,Colorado,55126,1626,2949.6,10,18.14,0.006
Cascade County,Montana,81366,2795,3435.1,16,19.66,0.006
Grand County,Colorado,15734,167,1061.4,1,6.36,0.006
Beaverhead County,Montana,9453,323,3416.9,2,21.16,0.006
Pitkin County,Colorado,17767,319,1795.5,2,11.26,0.006
Marquette County,Wisconsin,15574,870,5586.2,5,32.1,0.006
Christian County,Missouri,88596,2730,3081.4,17,19.19,0.006
Barron County,Wisconsin,45244,1723,3808.2,11,24.31,0.006
Texas County,Missouri,25398,721,2838.8,4,15.75,0.006
Brown County,Wisconsin,264543,17927,6776.6,110,41.58,0.006
Calumet County,Wisconsin,50089,3173,6334.7,18,35.94,0.006
Cole County,Missouri,76744,4066,5298.1,26,33.88,0.006
St. Clair County,Missouri,9397,162,1724.0,1,10.64,0.006
Garrett County,Maryland,29015,172,592.8,1,3.45,0.006
Manitowoc County,Wisconsin,78981,3799,4810.0,21,26.59,0.006
Eau Claire County,Wisconsin,104647,4772,4560.1,30,28.67,0.006
Coffee County,Alabama,52342,1947,3719.8,11,21.02,0.006
Johnson County,Missouri,54061,1805,3338.8,10,18.5,0.006
Miller County,Georgia,5718,326,5701.3,2,34.98,0.006
Wood County,Wisconsin,73000,2406,3295.9,15,20.55,0.006
Houston County,Minnesota,18600,318,1709.7,2,10.75,0.006
Holt County,Missouri,4403,154,3497.6,1,22.71,0.006
Chippewa County,Minnesota,11800,534,4525.4,3,25.42,0.006
Bannock County,Idaho,87807,3024,3443.9,17,19.36,0.006
Livingston County,Kentucky,9194,162,1762.0,1,10.88,0.006
Letcher County,Kentucky,21553,347,1610.0,2,9.28,0.006
Leslie County,Kentucky,9877,157,1589.6,1,10.12,0.006
Wayne County,Nebraska,9385,463,4933.4,3,31.97,0.006
Seward County,Nebraska,17284,523,3025.9,3,17.36,0.006
Prince George County,Virginia,38353,1211,3157.5,7,18.25,0.006
Laurel County,Kentucky,60812,1763,2899.1,11,18.09,0.006
Natrona County,Wyoming,79858,2026,2537.0,12,15.03,0.006
Wayne County,Kentucky,20332,329,1618.1,2,9.84,0.006
Sheridan County,Wyoming,30485,957,3139.2,6,19.68,0.006
Scotts Bluff County,Nebraska,35618,1625,4562.3,9,25.27,0.006
Valencia County,New Mexico,76690,1238,1614.3,7,9.13,0.006
Henry County,Kentucky,16126,338,2096.0,2,12.4,0.006
Wayne County,New York,89924,639,710.6,4,4.45,0.006
Sweetwater County,Wyoming,42343,681,1608.3,4,9.45,0.006
Phelps County,Nebraska,9034,358,3962.8,2,22.14,0.006
Saunders County,Nebraska,21578,821,3804.8,5,23.17,0.006
Sarpy County,Nebraska,187195,7128,3807.8,41,21.9,0.006
"Winchester, City of",Virginia,28078,680,2421.8,4,14.25,0.006
Trousdale County,Tennessee,11284,1815,16084.7,10,88.62,0.006
Freeborn County,Minnesota,30281,840,2774.0,5,16.51,0.006
Uinta County,Wyoming,20226,542,2679.7,3,14.83,0.006
Platte County,Nebraska,33470,1971,5888.9,12,35.85,0.006
Benton County,Iowa,25645,866,3376.9,6,23.4,0.007
Sevier County,Tennessee,98251,3690,3755.7,24,24.43,0.007
Benton County,Indiana,8748,135,1543.2,1,11.43,0.007
Alger County,Michigan,9108,135,1482.2,1,10.98,0.007
Mifflin County,Pennsylvania,46137,562,1218.1,4,8.67,0.007
Sanborn County,South Dakota,2344,141,6015.4,1,42.66,0.007
Bollinger County,Missouri,12133,590,4862.8,4,32.97,0.007
Loudon County,Tennessee,54068,1781,3294.0,13,24.04,0.007
Knox County,Tennessee,470318,14213,3022.0,100,21.26,0.007
Alachua County,Florida,269045,11047,4106.0,78,28.99,0.007
Yankton County,South Dakota,22814,1050,4602.4,7,30.68,0.007
Watonwan County,Minnesota,10897,614,5634.6,4,36.71,0.007
Warren County,Indiana,8265,139,1681.8,1,12.1,0.007
Swift County,Minnesota,9266,283,3054.2,2,21.58,0.007
Rice County,Minnesota,66972,1990,2971.4,13,19.41,0.007
Polk County,Minnesota,31364,1200,3826.0,9,28.7,0.007
Missaukee County,Michigan,15118,138,912.8,1,6.61,0.007
Otter Tail County,Minnesota,58746,1202,2046.1,8,13.62,0.007
Olmsted County,Minnesota,158292,4045,2555.4,30,18.95,0.007
Hanson County,South Dakota,3453,136,3938.6,1,28.96,0.007
Hutchinson County,South Dakota,7291,297,4073.5,2,27.43,0.007
Moore County,Tennessee,6488,299,4608.5,2,30.83,0.007
Owen County,Indiana,20799,303,1456.8,2,9.62,0.007
Pottawatomie County,Oklahoma,72591,2457,3384.7,18,24.8,0.007
Lewis County,Missouri,9776,274,2802.8,2,20.46,0.007
Williams County,Ohio,36693,545,1485.3,4,10.9,0.007
Madison County,Nebraska,35099,1834,5225.2,12,34.19,0.007
Leavenworth County,Kansas,81759,2830,3461.4,21,25.69,0.007
Nance County,Nebraska,3519,145,4120.5,1,28.42,0.007
Champaign County,Ohio,38884,541,1391.3,4,10.29,0.007
Brown County,Ohio,43431,560,1289.4,4,9.21,0.007
Stutsman County,North Dakota,20704,1419,6853.7,10,48.3,0.007
Reno County,Kansas,61997,2775,4476.0,19,30.65,0.007
Washington County,Kentucky,12095,303,2505.2,2,16.54,0.007
Griggs County,North Dakota,2231,141,6320.0,1,44.82,0.007
White Pine County,Nevada,9580,143,1492.7,1,10.44,0.007
Curry County,New Mexico,48953,1850,3779.1,13,26.56,0.007
Sierra County,New Mexico,10791,151,1399.3,1,9.27,0.007
New Hanover County,North Carolina,234474,5633,2402.4,40,17.06,0.007
Floyd County,Kentucky,35588,605,1700.0,4,11.24,0.007
Dare County,North Carolina,37008,421,1137.6,3,8.11,0.007
Hardin County,Kentucky,110958,2569,2315.3,17,15.32,0.007
Napa County,California,137742,2181,1583.4,16,11.62,0.007
Des Moines County,Iowa,38967,1863,4781.0,13,33.36,0.007
Franklin County,Kansas,25544,670,2622.9,5,19.57,0.007
Caldwell Parish,Louisiana,9918,400,4033.1,3,30.25,0.007
Humboldt County,Iowa,9558,442,4624.4,3,31.39,0.007
Klamath County,Oregon,68233,453,663.9,3,4.4,0.007
Columbia County,Oregon,52357,301,574.9,2,3.82,0.007
Sullivan County,Missouri,6089,426,6996.2,3,49.27,0.007
Vernon County,Missouri,20563,441,2144.6,3,14.59,0.007
Knox County,Maine,39774,134,336.9,1,2.51,0.007
Monona County,Iowa,8615,284,3296.6,2,23.22,0.007
Caldwell County,North Carolina,82179,2829,3442.5,19,23.12,0.007
Fergus County,Montana,11050,296,2678.7,2,18.1,0.007
Flathead County,Montana,103806,3960,3814.8,27,26.01,0.007
Sioux County,Iowa,34855,2818,8084.9,20,57.38,0.007
Yuba County,California,78666,1434,1822.9,10,12.71,0.007
Taylor County,Iowa,6121,301,4917.5,2,32.67,0.007
Cass County,Nebraska,26248,692,2636.4,5,19.05,0.007
Colfax County,Nebraska,10709,1025,9571.4,7,65.37,0.007
Gage County,Nebraska,21513,728,3384.0,5,23.24,0.007
San Luis Obispo County,California,283111,4568,1613.5,33,11.66,0.007
Ellsworth County,Kansas,6102,444,7276.3,3,49.16,0.007
Warren County,Tennessee,41277,1638,3968.3,11,26.65,0.007
Carlton County,Minnesota,35872,740,2062.9,5,13.94,0.007
Boone County,West Virginia,21457,443,2064.6,3,13.98,0.007
McLean County,Illinois,171516,5205,3034.7,39,22.74,0.007
Blaine County,Idaho,23021,979,4252.6,7,30.41,0.007
Buffalo County,Wisconsin,13031,418,3207.7,3,23.02,0.007
Henry County,Illinois,48912,1230,2514.7,9,18.4,0.007
Grand County,Utah,9754,152,1558.3,1,10.25,0.007
Valdez-Cordova Census Area,Alaska,9202,136,1477.9,1,10.87,0.007
Rutland County,Vermont,58183,139,238.9,1,1.72,0.007
Cassia County,Idaho,24030,1607,6687.5,11,45.78,0.007
Oconto County,Wisconsin,37930,2548,6717.6,19,50.09,0.007
Minidoka County,Idaho,21039,1340,6369.1,10,47.53,0.007
Dodge County,Wisconsin,87838,5703,6492.6,38,43.26,0.007
Coryell County,Texas,75952,2051,2700.4,14,18.43,0.007
Franklin County,Idaho,13876,416,2998.0,3,21.62,0.007
Jefferson County,Wisconsin,84769,3517,4148.9,24,28.31,0.007
Valley County,Idaho,11392,153,1343.0,1,8.78,0.007
Fairbanks North Star Borough,Alaska,96851,2405,2483.2,16,16.52,0.007
Jerome County,Idaho,24412,1373,5624.3,9,36.87,0.007
Lincoln County,Wyoming,19830,414,2087.7,3,15.13,0.007
Winnebago County,Wisconsin,171906,10625,6180.7,77,44.79,0.007
"Buena Vista, City of",Virginia,6478,137,2114.9,1,15.44,0.007
Wasatch County,Utah,34091,1317,3863.2,9,26.4,0.007
Williamson County,Tennessee,238414,7979,3346.7,59,24.75,0.007
Walla Walla County,Washington,60761,1400,2304.1,10,16.46,0.007
Bennington County,Vermont,35468,144,406.0,1,2.82,0.007
Lincoln County,West Virginia,20410,291,1425.8,2,9.8,0.007
Marshall County,West Virginia,30531,536,1755.6,4,13.1,0.007
Crook County,Wyoming,7584,150,1977.8,1,13.19,0.007
Grant County,Washington,97734,3433,3512.6,29,29.67,0.008
Morgan County,Alabama,119678,4753,3971.5,39,32.59,0.008
Buchanan County,Iowa,21175,630,2975.2,5,23.61,0.008
Fayette County,Kentucky,323149,12079,3737.9,94,29.09,0.008
Cambria County,Pennsylvania,130198,1456,1118.3,12,9.22,0.008
Iredell County,North Carolina,181806,4163,2289.8,34,18.7,0.008
Caswell County,North Carolina,22604,666,2946.4,5,22.12,0.008
Douglas County,Washington,43428,1252,2882.9,10,23.03,0.008
Hickman County,Kentucky,4380,129,2945.2,1,22.83,0.008
Cowlitz County,Washington,110590,896,810.2,7,6.33,0.008
Bonneville County,Idaho,119061,5157,4331.4,40,33.6,0.008
Whitley County,Kentucky,36264,959,2644.5,8,22.06,0.008
Elko County,Nevada,52778,1693,3207.8,14,26.53,0.008
Clarke County,Iowa,9395,387,4119.2,3,31.93,0.008
Elk County,Pennsylvania,29911,250,835.8,2,6.69,0.008
Fremont County,Iowa,6960,242,3477.0,2,28.74,0.008
McCracken County,Kentucky,65418,1471,2248.6,12,18.34,0.008
Stafford County,Virginia,152878,2552,1669.3,21,13.74,0.008
Santa Fe County,New Mexico,150362,2244,1492.4,18,11.97,0.008
Metcalfe County,Kentucky,10071,245,2432.7,2,19.86,0.008
Chaves County,New Mexico,64615,2414,3736.0,20,30.95,0.008
Monterey County,California,434064,12136,2795.9,99,22.81,0.008
Torrance County,New Mexico,15461,128,827.9,1,6.47,0.008
Echols County,Georgia,4006,246,6140.8,2,49.93,0.008
Hempstead County,Arkansas,21532,651,3023.4,5,23.22,0.008
Gray County,Kansas,5988,252,4208.4,2,33.4,0.008
Blaine County,Oklahoma,9429,250,2651.4,2,21.21,0.008
Crawford County,Illinois,18667,730,3910.6,6,32.14,0.008
Murray County,Oklahoma,14073,366,2600.7,3,21.32,0.008
Wakulla County,Florida,33739,1369,4057.6,11,32.6,0.008
Major County,Oklahoma,7629,246,3224.5,2,26.22,0.008
Scioto County,Ohio,75314,1188,1577.4,9,11.95,0.008
Brown County,Minnesota,25008,500,1999.4,4,16.0,0.008
Logan County,Arkansas,21466,637,2967.5,5,23.29,0.008
Webster County,Iowa,35904,2265,6308.5,17,47.35,0.008
Monroe County,Arkansas,6701,246,3671.1,2,29.85,0.008
Comanche County,Oklahoma,120748,2783,2304.8,22,18.22,0.008
Kingfisher County,Oklahoma,15765,626,3970.8,5,31.72,0.008
Washington County,Utah,177553,5836,3286.9,49,27.6,0.008
Crawford County,Kansas,38818,1656,4266.1,14,36.07,0.008
Morgan County,Ohio,14509,119,820.2,1,6.89,0.008
Delaware County,Ohio,209177,3483,1665.1,29,13.86,0.008
Hancock County,Illinois,17708,482,2721.9,4,22.59,0.008
Rockingham County,North Carolina,91010,2294,2520.6,19,20.88,0.008
Scott County,Arkansas,10281,257,2499.8,2,19.45,0.008
Wabaunsee County,Kansas,6931,124,1789.1,1,14.43,0.008
Trego County,Kansas,2803,123,4388.2,1,35.68,0.008
Santa Cruz County,California,273220,3074,1125.1,26,9.52,0.008
Cass County,North Dakota,181923,11406,6269.7,94,51.67,0.008
Foster County,North Dakota,3210,254,7912.8,2,62.31,0.008
Lincoln County,Arkansas,13024,2354,18074.3,18,138.21,0.008
Nemaha County,Kansas,10231,500,4887.1,4,39.1,0.008
Montgomery County,Kansas,31828,767,2409.8,6,18.85,0.008
Wells County,North Dakota,3834,236,6155.5,2,52.17,0.008
Williams County,North Dakota,37589,2244,5969.8,19,50.55,0.008
Seminole County,Oklahoma,24258,911,3755.5,7,28.86,0.008
Clarke County,Virginia,14620,132,902.9,1,6.84,0.008
Clarke County,Georgia,128330,5992,4669.2,50,38.96,0.008
Carlisle County,Kentucky,4760,125,2626.1,1,21.01,0.008
Gloucester County,Virginia,37347,366,980.0,3,8.03,0.008
Barton County,Kansas,25779,928,3599.8,7,27.15,0.008
Barton County,Missouri,11754,483,4109.2,4,34.03,0.008
Grant County,South Dakota,7052,362,5133.3,3,42.54,0.008
Bayfield County,Wisconsin,15036,371,2467.4,3,19.95,0.008
Stephenson County,Illinois,44498,1504,3379.9,12,26.97,0.008
Shelby County,Missouri,5930,121,2040.5,1,16.86,0.008
Lincoln County,Tennessee,34366,1057,3075.7,8,23.28,0.008
Ionia County,Michigan,64697,1014,1567.3,8,12.37,0.008
Barry County,Michigan,61551,981,1593.8,8,13.0,0.008
Colorado County,Texas,21493,510,2372.9,4,18.61,0.008
Hughes County,South Dakota,17526,1016,5797.1,8,45.65,0.008
DeKalb County,Alabama,71513,3820,5341.7,30,41.95,0.008
Wayne County,Missouri,12873,358,2781.0,3,23.3,0.008
Perry County,Missouri,19136,1016,5309.4,8,41.81,0.008
Door County,Wisconsin,27668,1190,4301.0,9,32.53,0.008
Lincoln County,South Dakota,61128,3541,5792.8,29,47.44,0.008
Todd County,Minnesota,24664,1127,4569.4,9,36.49,0.008
Pennington County,Minnesota,14119,261,1848.6,2,14.17,0.008
Cuming County,Nebraska,8846,373,4216.6,3,33.91,0.008
Menominee County,Michigan,22780,896,3933.3,7,30.73,0.008
Washington County,Colorado,4908,127,2587.6,1,20.37,0.008
Oglala Lakota County,South Dakota,14177,1208,8520.8,10,70.54,0.008
Sawyer County,Wisconsin,16558,484,2923.1,4,24.16,0.008
Rock County,Wisconsin,163356,6455,3951.5,53,32.44,0.008
Kewaunee County,Wisconsin,20434,1300,6361.9,11,53.83,0.008
Portage County,Wisconsin,70773,3460,4888.9,26,36.74,0.008
Adams County,Wisconsin,20220,735,3635.0,6,29.67,0.008
Henry County,Alabama,17205,770,4475.4,6,34.87,0.008
Cass County,Minnesota,29779,615,2065.2,5,16.79,0.008
Ozaukee County,Wisconsin,89220,3222,3611.3,26,29.14,0.008
Buffalo County,Nebraska,49659,2285,4601.4,19,38.26,0.008
Barbour County,Alabama,24686,1090,4415.5,9,36.46,0.008
Outagamie County,Wisconsin,187885,11082,5898.3,85,45.24,0.008
Brule County,South Dakota,5297,372,7022.8,3,56.64,0.008
Vermilion County,Illinois,75759,2208,2914.5,17,22.44,0.008
Butte County,South Dakota,10429,478,4583.4,4,38.35,0.008
Schoolcraft County,Michigan,8094,126,1556.7,1,12.35,0.008
Le Sueur County,Minnesota,28887,776,2686.3,6,20.77,0.008
Geneva County,Alabama,26271,1012,3852.2,8,30.45,0.008
Jasper County,Indiana,33561,927,2762.1,7,20.86,0.008
Falls County,Texas,17297,709,4099.0,6,34.69,0.008
Park County,Colorado,18844,118,626.2,1,5.31,0.008
Oceana County,Michigan,26467,766,2894.2,6,22.67,0.008
Marinette County,Wisconsin,40350,2266,5615.9,19,47.09,0.008
Codington County,South Dakota,28009,1883,6722.8,16,57.12,0.008
Corson County,South Dakota,4086,262,6412.1,2,48.95,0.008
Washington County,Wisconsin,136035,5954,4376.8,50,36.76,0.008
Houghton County,Michigan,35685,1073,3006.9,9,25.22,0.008
Houston County,Alabama,105881,4436,4189.6,36,34.0,0.008
Davison County,South Dakota,19775,1334,6745.9,11,55.63,0.008
Schuyler County,Illinois,6768,119,1758.3,1,14.78,0.008
Stearns County,Minnesota,161076,7654,4751.8,58,36.01,0.008
Douglas County,Nebraska,571325,25917,4536.3,238,41.66,0.009
Scott County,Minnesota,149013,4340,2912.5,39,26.17,0.009
Garvin County,Oklahoma,27711,898,3240.6,8,28.87,0.009
Douglas County,Minnesota,38141,1021,2676.9,9,23.6,0.009
Meeker County,Minnesota,23222,466,2006.7,4,17.22,0.009
Morrison County,Minnesota,33386,1074,3216.9,10,29.95,0.009
Waukesha County,Wisconsin,404197,16334,4041.1,139,34.39,0.009
Murray County,Minnesota,8194,338,4125.0,3,36.61,0.009
Sibley County,Minnesota,14865,316,2125.8,3,20.18,0.009
Nobles County,Minnesota,21629,2537,11729.6,22,101.72,0.009
Walworth County,Wisconsin,103868,4382,4218.8,39,37.55,0.009
Eaton County,Michigan,110269,1556,1411.1,14,12.7,0.009
Bryan County,Oklahoma,47995,1837,3827.5,16,33.34,0.009
Vilas County,Wisconsin,22195,776,3496.3,7,31.54,0.009
Beaver County,Oklahoma,5311,109,2052.3,1,18.83,0.009
Logan County,Ohio,45672,659,1442.9,6,13.14,0.009
Shelby County,Alabama,217701,8090,3716.1,70,32.15,0.009
Amherst County,Virginia,31605,642,2031.3,6,18.98,0.009
Murray County,Georgia,40096,1184,2952.9,11,27.43,0.009
Payette County,Idaho,23951,1233,5148.0,11,45.93,0.009
Chemung County,New York,83456,2046,2451.6,19,22.77,0.009
Roanoke County,Virginia,94185,1848,1962.1,16,16.99,0.009
Mason County,Kentucky,17069,219,1283.0,2,11.72,0.009
Meade County,Kentucky,28571,463,1620.5,4,14.0,0.009
Missoula County,Montana,119602,2767,2313.5,26,21.74,0.009
Sullivan County,New Hampshire,43151,109,252.6,1,2.32,0.009
Owsley County,Kentucky,4415,109,2468.9,1,22.65,0.009
Franklin County,New York,50022,114,227.9,1,2.0,0.009
Silver Bow County,Montana,34915,786,2251.2,7,20.05,0.009
St. Helena Parish,Louisiana,10132,446,4401.9,4,39.48,0.009
Bourbon County,Kansas,14534,334,2298.1,3,20.64,0.009
Teton County,Montana,6147,109,1773.2,1,16.27,0.009
Jackson County,Alabama,51626,2439,4724.4,21,40.68,0.009
Lee County,Alabama,164541,6851,4163.7,65,39.5,0.009
Hardy County,West Virginia,13776,114,827.5,1,7.26,0.009
Franklin County,Nebraska,2979,112,3759.7,1,33.57,0.009
