year,state,state_po,county,FIPS,office,candidate,party,candidatevotes,totalvotes,version,percentage
2012,California,CA,Santa Clara,6085.0,President,Mitt Romney,republican,174843.0,643091,20191203,0.27187909642647773
2012,California,CA,Santa Cruz,6087.0,President,Barack Obama,democrat,90805.0,120095,20191203,0.7561097464507265
2012,California,CA,Santa Cruz,6087.0,President,Mitt Romney,republican,24047.0,120095,20191203,0.20023314875723386
2012,California,CA,Shasta,6089.0,President,Barack Obama,democrat,25819.0,76335,20191203,0.3382327896770813
2012,California,CA,Shasta,6089.0,President,Mitt Romney,republican,48067.0,76335,20191203,0.6296849413768258
2012,California,CA,Sierra,6091.0,President,Barack Obama,democrat,653.0,1795,20191203,0.3637883008356546
2012,California,CA,Sierra,6091.0,President,Mitt Romney,republican,1056.0,1795,20191203,0.5883008356545961
2012,California,CA,Siskiyou,6093.0,President,Barack Obama,democrat,8046.0,19910,20191203,0.40411853340030135
2012,California,CA,Siskiyou,6093.0,President,Mitt Romney,republican,11077.0,19910,20191203,0.556353591160221
2012,California,CA,Solano,6095.0,President,Barack Obama,democrat,96783.0,152444,20191203,0.6348757576552702
2012,California,CA,Solano,6095.0,President,Mitt Romney,republican,52092.0,152444,20191203,0.3417123665083572
2012,California,CA,Sonoma,6097.0,President,Barack Obama,democrat,153942.0,216508,20191203,0.7110222255066787
2012,California,CA,Sonoma,6097.0,President,Mitt Romney,republican,54784.0,216508,20191203,0.2530345299018974
2012,California,CA,Stanislaus,6099.0,President,Barack Obama,democrat,77724.0,155369,20191203,0.5002542334699972
2012,California,CA,Stanislaus,6099.0,President,Mitt Romney,republican,73459.0,155369,20191203,0.47280345500067583
2012,California,CA,Sutter,6101.0,President,Barack Obama,democrat,12192.0,31026,20191203,0.39296074260297814
2012,California,CA,Sutter,6101.0,President,Mitt Romney,republican,18122.0,31026,20191203,0.5840907625862181
2012,California,CA,Tehama,6103.0,President,Barack Obama,democrat,7934.0,22977,20191203,0.3453018235626931
2012,California,CA,Tehama,6103.0,President,Mitt Romney,republican,14235.0,22977,20191203,0.6195325760543152
2012,California,CA,Trinity,6105.0,President,Barack Obama,democrat,2674.0,5674,20191203,0.4712724709199859
2012,California,CA,Trinity,6105.0,President,Mitt Romney,republican,2716.0,5674,20191203,0.4786746563271061
2012,California,CA,Tulare,6107.0,President,Barack Obama,democrat,41752.0,101100,20191203,0.41297725024727994
2012,California,CA,Tulare,6107.0,President,Mitt Romney,republican,56956.0,101100,20191203,0.5633630069238378
2012,California,CA,Tuolumne,6109.0,President,Barack Obama,democrat,9998.0,24687,20191203,0.4049904808198647
2012,California,CA,Tuolumne,6109.0,President,Mitt Romney,republican,13880.0,24687,20191203,0.5622392352250172
