fips,biden,trump,other
06049,0.279,0.701,0.02
06051,0.596,0.373,0.031
06053,0.697,0.281,0.022
06055,0.692,0.286,0.022
06057,0.561,0.415,0.025
06059,0.535,0.444,0.021
06061,0.457,0.52,0.024
06063,0.408,0.571,0.022
06065,0.533,0.448,0.019
06067,0.616,0.359,0.024
06069,0.612,0.368,0.021
06071,0.542,0.435,0.022
06073,0.602,0.375,0.023
06075,0.853,0.127,0.02
06077,0.568,0.412,0.02
06079,0.555,0.421,0.024
06081,0.779,0.202,0.019
06083,0.65,0.327,0.023
06085,0.727,0.252,0.021
06087,0.79,0.186,0.025
06089,0.325,0.653,0.022
06091,0.378,0.592,0.03
06093,0.409,0.567,0.024
06095,0.64,0.337,0.024
06097,0.747,0.229,0.024
06099,0.493,0.485,0.023
06101,0.407,0.572,0.021
06103,0.317,0.661,0.022
06105,0.378,0.567,0.054
06107,0.45,0.528,0.021
06109,0.396,0.58,0.024
06111,0.595,0.383,0.021
06113,0.715,0.264,0.021
06115,0.379,0.593,0.028
08001,0.5670000000000001,0.40399999999999997,0.028999999999999998
08003,0.48100000000000004,0.488,0.03
08005,0.61,0.364,0.026000000000000002
08007,0.409,0.568,0.024
08009,0.142,0.8390000000000001,0.018000000000000002
08011,0.322,0.6609999999999999,0.017
08013,0.772,0.20600000000000002,0.022000000000000002
08014,0.624,0.349,0.027000000000000003
08015,0.522,0.45399999999999996,0.024
08017,0.115,0.8740000000000001,0.011000000000000001
08019,0.55,0.42100000000000004,0.028999999999999998
08021,0.452,0.528,0.02
08023,0.626,0.354,0.02
08025,0.25,0.726,0.024
08027,0.306,0.6809999999999999,0.013000000000000001
08029,0.304,0.675,0.021
08031,0.795,0.182,0.023
08033,0.235,0.752,0.013000000000000001
08035,0.452,0.524,0.024
08037,0.638,0.33899999999999997,0.022000000000000002
08039,0.23600000000000002,0.7390000000000001,0.025
08041,0.42700000000000005,0.535,0.037000000000000005
08043,0.28800000000000003,0.685,0.026000000000000002
08045,0.499,0.47600000000000003,0.025
08047,0.531,0.43799999999999994,0.031
08049,0.47700000000000004,0.495,0.027999999999999997
08051,0.6409999999999999,0.331,0.028999999999999998
08053,0.40399999999999997,0.5589999999999999,0.038
08055,0.47100000000000003,0.5,0.028999999999999998
08057,0.2,0.777,0.023
08059,0.579,0.39299999999999996,0.027999999999999997
08061,0.10800000000000001,0.88,0.011000000000000001
08063,0.171,0.812,0.017
08065,0.581,0.37799999999999995,0.040999999999999995
08067,0.5760000000000001,0.39899999999999997,0.025
08069,0.562,0.408,0.03
