"fips","dem_amount","rep_amount"
6001,2402281.65719235,764919.710774137
6003,1523.47975110111,485.097027275521
6005,54462.5822387427,17341.6395739212
6007,329186.57838716,104817.560246006
6009,65947.6115371583,20998.6317766773
6011,31278.6253387484,9959.54698979427
6013,1654827.86014829,526920.082154324
6015,39843.2880082624,12686.6540600366
6017,270611.910401892,86166.5756872897
6019,1421376.05087689,452585.796708259
6021,40509.719456213,12898.8550519107
6023,198314.283932733,63146.0113155499
6025,262176.750786674,83480.7041809705
6027,26078.1318999371,8303.63793966752
6029,1281725.19544978,408119.032528946
6031,217364.328728736,69211.8091007372
6033,92984.6480750855,29607.5982177532
6035,44701.8351801121,14233.6826885686
6037,14704719.6834198,4682186.15980368
6039,224019.912665256,71331.0390938206
6041,379141.290264001,120723.831538648
6043,25400.0597280048,8087.73038024976
6045,127007.574092513,40440.9685059636
6047,389422.959720811,123997.657321579
6049,13039.0659499686,4151.81896983376
6051,20768.5066737977,6612.97981881902
6053,631440.886752227,201059.513158829
6055,204934.945697308,65254.1216060023
6057,143927.366399871,45828.4644306625
6059,4605341.05398139,1466404.29796432
6061,551396.358473266,175572.228086789
6063,27159.2641397348,8647.88540028424
6065,3463233.24687726,1102741.373233
6067,2198622.82586153,700071.921635108
6069,86177.7347268038,27440.1828466024
6071,3102194.73749526,987781.717545673
6073,4810658.68847959,1531780.27297832
6075,1268128.82983919,403789.76163796
6077,1066303.41253549,339525.756887056
6079,410048.867525833,130565.231687988
6081,1117372.72373357,355786.932022002
6083,646554.911751929,205872.027793319
6085,2805949.95288573,893453.280127261
6087,399271.012209304,127133.413463509
6089,259836.965266358,82735.6841046964
6091,4293.97205873867,1367.26010266482
6093,63116.005428617,20097.0092216839
6095,638578.105643489,203332.102384031
6097,731251.364352065,232840.549919992
6099,784664.82634196,249848.135094041
6101,139313.274431636,44359.2737205472
6103,92329.8573511166,29399.1037934228
6105,18665.9009046085,5943.48105624679
6107,668228.484715301,212773.193238657
6109,78240.2160618022,24912.7671027744
6111,1232931.64579011,392582.491348784
6113,313756.798749456,99904.5049668947
6115,109061.94298427,34726.8313164803
36001,576217.726048277,137819.493575548
36003,88126.9541127356,21078.1647927908
36005,2705808.83170341,647174.125404057
36007,364350.742305477,87145.2447893083
36009,145475.788676278,34794.8329537995
36011,145505.761282047,34802.0017880119
36013,242040.031313028,57891.02457736
36015,160435.865530804,38372.9773300266
36017,90507.9029835222,21647.6390605324
36019,150799.672776023,36068.1971307639
36021,113961.46699788,27257.2518316773
36023,89758.5878392935,21468.4182052243
36025,85034.1558549317,20338.4307125064
36027,548927.668495468,131292.270025225
36029,1720948.3451743,411615.642281937
36031,70568.6269955969,16878.5721007827
36033,95689.4172058636,22886.9512749882
36035,100426.962205249,24020.0751326739
36037,108675.048655347,25992.8486974783
36039,88969.9336499928,21279.7882550124
36041,8534.69949276472,2041.32554195976
36043,116960.600862655,27974.5833050481
36045,211644.062487392,50620.9305817852
36047,4886327.14113604,1168709.50266358
36049,49917.5016206544,11939.2453284903
36051,119890.42307659,28675.336849303
36053,133728.400502633,31985.0979947061
