fips,popestimate,netmig,race_white,race_black,race_hispanic,race_aac,age_0_to_19_years,age_20_to_39_years,age_40_to_59_years,age_60_to_79_years,age_80_years_or_older
01001,55869,254,0.7626232794573019,0.20113121766990638,0.029909252000214787,0.017004063076124506,0.25509674416939626,0.2536469240544846,0.27120585655730367,0.182194061107233,0.03785641411158245
01003,223234,5377,0.874409812125393,0.0877688882517896,0.04718815234238512,0.015011154214859743,0.2341399607586658,0.22266321438490552,0.26108030138778143,0.23847173817608427,0.04364478529256296
01005,24686,-128,0.49153366280482863,0.4822976585919144,0.04524831888519809,0.0061573361419428015,0.22664668233006563,0.26274001458316454,0.25131653568824436,0.21651948472818602,0.042777282670339464
01007,22394,41,0.7676609806198089,0.21269089934803964,0.027819951772796284,0.004331517370724301,0.2229168527284094,0.27685987318031613,0.27145664017147453,0.19147986067696704,0.0372867732428329
01009,57826,65,0.9582540725625152,0.016912807387680282,0.0965309722270259,0.005395496835333587,0.2511327084702383,0.23632967869124616,0.26223498080448243,0.20852211807837304,0.041780513955660084
01011,10101,-73,0.26621126621126623,0.7026037026037026,0.08553608553608553,0.004158004158004158,0.22918522918522918,0.277992277992278,0.2546282546282546,0.19641619641619643,0.04177804177804178
01013,19448,-123,0.5207219251336899,0.44976347182229537,0.01486013986013986,0.016197038255861784,0.24125874125874125,0.23447141094199916,0.243006993006993,0.22521596051007817,0.0560468942821884
01015,113605,-461,0.7510408872848906,0.21313322477003652,0.040614409577043264,0.013696580256150698,0.24248932705426698,0.2555697372474803,0.2517934950046213,0.21089740768452092,0.039250033009110515
01017,33254,-259,0.5704576893005353,0.4019065375593914,0.02619233776387803,0.01305106152643291,0.22830336200156373,0.23762554880615866,0.26035965598123534,0.22827329043122632,0.04543814277981596
01019,26196,303,0.9317834783936478,0.04096045197740113,0.017140021377309512,0.0057260650480989465,0.20991754466330736,0.20564208276072682,0.26546037562986713,0.2679798442510307,0.05100015269506795
01021,44428,219,0.8705546052039255,0.10344827586206896,0.08184028090393446,0.006977581705230935,0.2604663725578464,0.24254974340505986,0.26037633924552084,0.199513820113442,0.03709372467813091
01023,12589,-201,0.571212963698467,0.41742791325760586,0.010167606640718087,0.003256811502105012,0.21749146079911033,0.20795932957343713,0.26165700214472953,0.2553022479942807,0.05758995948844229
01025,23622,-237,0.5299297265261197,0.4502159004318009,0.013123359580052493,0.006053678774024214,0.23638980611294555,0.23033612733892134,0.25831851663703326,0.2233511133688934,0.051604436542206415
01027,13235,-14,0.8322629391764261,0.13781639591990932,0.03286739705326785,0.005062334718549301,0.22334718549301097,0.22561390253116737,0.26943709860219117,0.22878730638458633,0.0528145069890442
01029,14910,-97,0.9507712944332662,0.028437290409121393,0.02595573440643863,0.004024144869215292,0.24627766599597586,0.2244131455399061,0.26773977196512405,0.21737089201877935,0.04419852448021462
01031,52342,368,0.7578808604944404,0.1760727522830614,0.07968744029651141,0.025371594513010583,0.25929463910435213,0.24913071720606778,0.25665813304803026,0.19468113560811584,0.040235375033433954
01033,55241,329,0.8044749370938252,0.16218026465849641,0.032385365941963395,0.008761608225774334,0.22964826849622563,0.2444018030086349,0.2557520682102062,0.22171937510182654,0.048478485183106754
