Financial.services.and.insurance,Gasoline.and.other.energy.goods,Health.care,Other.nondurable.goods,Personal.consumption.expenditures,Food,Household,Nonprofit,nondurable_goods,durable_goods,goods_clothing_footwear,services,Recreation,transportation,fips
0.00284408904754627,2.751236424865149e-4,0.013439228456048162,0.009039225379240684,0.032591485006348564,0.027140076948787055,0.07721315765029908,0.0034752108078651713,0.02003550490362549,0.009575226457212937,0.016927281883830286,0.10225372424808987,0.004831889159987057,0.010024973074704978,01001
0.04127908190894021,0.004526122344071364,0.023840050369881013,0.06452571082921227,0.6940110232070325,0.02931362328180824,0.4301154003706287,0.018685373335833668,0.0537395839770414,0.02551771915269498,0.04106968790721909,0.06354475830434794,0.012413089511835146,0.005095201521832368,01003
0.004301500929800598,8.577059678204033e-4,0.005691015958171541,0.011030832006662524,0.05717563968440697,0.007201388014010788,0.006479721885667736,0.003447293943647489,4.572261909700962e-4,0.008036440308947417,0.003615560399739017,0.01784144902238264,3.1627835129212524e-4,6.206221000991028e-4,01005
0.006377956659962644,0.0013176585125510534,3.668350717048866e-4,0.0042733042113872535,0.02549081179549053,0.001156431183735247,0.0014749813130504415,0.007598050051196433,0.001197072061706033,8.416385250323756e-4,0.03319671492481628,0.02645260502065498,0.0014002683799384903,0.002361855804086408,01007
0.0028434491964176166,7.033246823790506e-4,0.0016129811204816512,0.01664779923259104,0.02444216681192321,0.007086493289178005,0.007569437438853697,0.006491960625381031,0.042697407932072814,0.024448377756384254,0.03282346981263963,0.01903089412631243,9.51077062068049e-4,9.727756332124692e-4,01009
5.378294449868171e-4,2.8900781959542476e-4,0.006481652728375083,0.0017605747010834645,7.835466106573342e-5,2.4170786238962336e-4,0.002518994682062402,7.022533541343624e-5,2.760331045714995e-4,9.836160543541315e-4,5.909155562306656e-4,0.0011360766528124599,0.001194460184187988,0.00122008192377073,01011
0.0013413490316255244,7.782037533930515e-5,0.0031606685004106,0.006594488171299017,0.12733647454631078,0.0034740346357578374,0.05131464574878661,0.006294749882388274,0.01611967333100891,0.003522992445533455,0.0330535882885283,0.019667280971693436,0.0019617700607099443,4.329496763391413e-4,01013
0.005130525014516048,0.0025514970962708917,0.04138144607494078,0.05820017808038451,0.3368719013614196,0.03101705772622153,0.024937757264230472,0.04604868772201309,0.11260688571566053,0.005181828545220539,0.08465737177636062,0.05958655239823372,0.010972239151495825,0.008148597063651697,01015
0.007183986768723099,9.601953512216868e-4,0.01489050618813205,0.007301876884223656,0.016736535627974867,0.006266818187368028,0.13731261400429387,0.014629951012144468,0.04537794941537113,0.011431339876404907,0.036781951097629,0.03663333351144126,9.527679980220106e-4,0.0049282263087837876,01017
0.004439611910163136,6.475035291631294e-4,0.003797209118591265,0.01376596036771764,0.09899022939751934,0.015569057423739412,0.0910322200304744,0.007879910111728039,0.030380730736182755,0.006463068399270783,0.032832217404138,0.02571644414821267,0.0027043035961962143,9.816999008481393e-4,01019
0.015541141376736687,1.2162074692035421e-4,0.014792596138156705,0.00630308190876901,0.01236717697208647,0.021238884565598946,0.15200853764262526,0.002476874674842078,0.031379246993209535,0.011456939730656751,0.04773581748423121,0.026662755832064247,0.005524925822376713,4.479312789020418e-4,01021
4.6565104741150634e-4,0.002142085507867451,0.003599083428214263,2.8031348080162048e-5,0.3995427121314149,0.0016193045450103387,0.0015206992023142718,0.002009208569042293,0.007263362395213278,5.0031031104569837e-5,0.006227538137323113,0.001589750419453306,2.6923350300303775e-5,0.0011012097948196414,01023
4.992874683597934e-4,1.4221241454915505e-4,0.008022156096296754,9.743000763387702e-5,0.005356899783360346,0.0018490589407008885,0.02132213279130434,1.6987168246396285e-5,0.0018481625999144976,4.131630911815662e-4,0.01849888242982988,0.00646643108215817,1.815623170807642e-4,0.006522738130265196,01025
0.0026251003123016117,3.306437293793182e-5,5.765467627884267e-4,4.8639095950587515e-4,1.419194016835364e-4,1.6848289977599836e-4,0.01936179041358522,3.8889352097449686e-5,1.0473146308907707e-4,9.701049299325746e-4,8.259255974998798e-5,9.422461664720212e-5,3.141379027289709e-5,4.239768249175209e-5,01027
1.5065881054677013e-4,2.1075546980351475e-5,2.0267212568143096e-4,2.8280405981378615e-5,0.0018584253419461664,4.153005795076766e-4,0.13670252934988092,0.002465962986594284,4.082273819556349e-4,1.350193521531209e-4,3.6863362546287766e-4,0.003681240418004183,4.8794321058880433e-4,0.0028664002360524916,01029
3.180239437869358e-4,0.0010309432447068428,3.6868111482084943e-4,8.592465775094918e-4,0.02271053938444257,5.051444279295897e-4,0.08727065638327018,5.702525230197582e-4,0.045867328715850086,0.06501635307999701,0.12040751752016873,0.0037813342355709992,0.00155952602892465,0.006220909990177042,01031
0.08415076598775419,0.00618139406820768,0.04046893644033181,0.05253263661940602,0.31306143535365283,0.055430245318934104,0.04861198223614312,5.494327769482352e-4,0.3236797173670283,7.193150313371191e-4,0.01347648283883032,0.04941345055537462,1.6074989047317817e-4,0.0027524022752154088,01033
