state,county,stname,ctyname,abbreviation,Clothing and footwear,Durable goods,Final consumption expenditures of nonprofit institutions serving households (NPISHs),Financial services and insurance,Food and beverages purchased for off-premises consumption,Food services and accommodations,Furnishings and durable household equipment,Gasoline and other energy goods,Goods,Gross output of nonprofit institutions,Health care,Household consumption expenditures (for services),Housing and utilities,Less: Receipts from sales of goods and services by nonprofit institutions,Motor vehicles and parts,Nondurable goods,Other durable goods,Other nondurable goods,Other services,Personal consumption expenditures,Recreation services,Recreational goods and vehicles,Services,Transportation services
01,001,Alabama,Autauga County,AL,11.063309430916876,41.90200050374985,4.861495314612344,27.53332860425309,28.31707434422564,21.626838969677344,8.632561773610705,11.165537136130688,129.95413059457903,35.654751851794735,61.984065261307386,211.16836306999554,57.15664584843298,30.793256537182394,16.992516333317912,88.05213009082918,6.2699659197804065,37.49485054564334,24.841332366956067,345.9726303452743,10.892929922227191,10.00695647704083,216.01849975069524,7.133222097141477
01,003,Alabama,Baldwin County,AL,41.57547745719411,157.46605373674444,18.26930631589228,103.4691553965488,106.41444076055947,81.2728019286423,32.44082429924797,41.95964511336942,488.3624615890738,133.98914141492025,232.93365552762657,793.5623217727883,214.79240509712605,115.71983509902797,63.8572015153618,330.89640785232933,23.562282912085372,140.90415922607573,93.3527404505991,1300.1514043826237,40.93519803023527,37.6057450100493,811.78894279355,26.806365342010167
01,005,Alabama,Barbour County,AL,5.168071306305612,19.573937421931625,2.2709799990747452,12.861811957376595,13.22792789180687,10.102677379061484,4.03258130676824,5.215825558622604,60.706266750967664,16.655622002559873,28.954994988203,98.64436720280044,26.69993307323392,14.384642003485126,7.937817940691166,41.13232932903604,2.928927475442195,17.515198544265733,11.60428331302913,161.61630792480764,5.088480885777291,4.6746106990300245,100.91004117383997,3.332185606119019
01,007,Alabama,Bibb County,AL,4.523213924057139,17.131556638446394,1.9876135107766484,11.256951285333168,11.57738430459389,8.842093748875557,3.529407168668815,4.56500953526506,53.131509758868305,14.577380397962381,25.34207226240227,86.33580088516045,23.368390622028258,12.589766887185734,6.94735937411651,35.999953120421914,2.563464154085771,15.329701399704945,10.156333523524603,141.45028019800452,4.453554572043939,4.091325941575297,88.31877043913622,2.916404870952652
01,009,Alabama,Blount County,AL,11.514108799687468,43.60939154214279,5.059587850376013,28.655235862877234,29.47091708174626,22.50807305400918,8.984314874499463,11.620502002148648,135.2494032620373,37.10758472507081,64.50974509229417,219.77289188397305,59.48562164273854,32.047996874694796,17.684914542435784,91.64001171989452,6.525449750952241,39.02266236937201,25.853548198066218,360.0700615294462,11.336786795585505,10.414712374255298,224.82065826740893,7.4238812384021875
01,011,Alabama,Bullock County,AL,2.0805662559563283,7.880091291809953,0.9142529338288587,5.177918485049425,5.325309729054544,4.067143892547072,1.6234397890418988,2.099791200826561,24.43917714003732,6.705233549740158,11.65672490631795,39.712327786944655,10.748880287445834,5.790980615911299,3.1956130584298426,16.559085848227365,1.179129952040958,7.0512825574043525,4.671661603466622,65.06362175582525,2.0485246811726063,1.8819084922972535,40.62444461578794,1.3414739309451478
01,013,Alabama,Butler County,AL,4.00772855079392,15.179169018356026,1.76109632416817,9.974059555569262,10.257974617175813,7.834409815925691,3.1271803887098346,4.044760950133905,47.07640898319634,12.916077947579172,22.45397813314417,76.49659290329544,20.705225942089328,11.154981623411002,6.155607712513043,31.897239964840313,2.2713204928524062,13.5826611356989,8.998873039616328,125.32998349962217,3.9460078852272784,3.6250604242807425,78.25357451642584,2.58403853172339
01,015,Alabama,Calhoun County,AL,23.025213605358253,87.20740553405196,10.117855670527035,57.30299566672321,58.934145295850236,45.01027382402681,17.966285770094736,23.237972252635693,270.46352038901824,74.20548820043076,129.0026597992197,439.48844572609374,118.95572367778516,64.08763252990373,35.36521514744964,183.2561148549663,13.049197033016178,78.03514385142464,51.70035128841735,720.0461819359416,22.670615859895857,20.826707583491398,449.5826615469233,14.845825610025651
01,017,Alabama,Chambers County,AL,6.75798520620332,25.595695508915856,2.9696279961550522,16.818640800653846,17.29738923928632,13.210681552988829,5.2731712081257935,6.820430654720599,79.38204183179894,21.779584766193246,37.862756950976916,128.9914814871929,34.91394410432762,18.80995677003819,10.379821220205509,53.78634632288309,3.829987509059787,22.90360283950427,15.174243989698828,211.33621293197834,6.653909458674521,6.1127155715247685,131.9541711001794,4.357304629872366
01,019,Alabama,Cherokee County,AL,5.160461188130009,19.545114294673102,2.2676359225047675,12.84287260783074,13.20844942711305,10.087800926282892,4.026643226877625,5.208145121079875,60.61687520882488,16.631096169959033,28.912358011935787,98.4991108301078,26.66061673374764,14.363460247454265,7.926129299222272,41.071760914151774,2.9246145542584854,17.48940696305663,11.587195706817587,161.37832374666525,5.080987966546898,4.667727214314721,100.76144853784035,3.327278876946248
01,021,Alabama,Chilton County,AL,8.784880102394869,33.27250790321835,3.8602963899640694,21.86298703101146,22.485324533131834,17.172907304886888,6.854731907412834,8.866054559193179,103.19077335882925,28.311846654432742,49.21877897204189,167.67936959304208,45.38554073434392,24.451550264468672,13.492998596696841,69.918265455610907,4.978700016963005,29.77298687680232,19.7253930019893,274.7214199577467,8.649589341064353,7.946077382145666,171.53064659891746,5.664173207704289
