"fips","unemployment"
1001,5.99166666666667
1003,5.99166666666667
1005,5.99166666666667
1007,5.99166666666667
1009,5.99166666666667
1011,5.99166666666667
1013,5.99166666666667
1015,5.99166666666667
1017,5.99166666666667
1019,5.99166666666667
1021,5.99166666666667
1023,5.99166666666667
1025,5.99166666666667
1027,5.99166666666667
1029,5.99166666666667
1031,5.99166666666667
1033,5.99166666666667
1035,5.99166666666667
1037,5.99166666666667
1039,5.99166666666667
1041,5.99166666666667
1043,5.99166666666667
1045,5.99166666666667
1047,5.99166666666667
1049,5.99166666666667
1051,5.99166666666667
1053,5.99166666666667
1055,5.99166666666667
1057,5.99166666666667
1059,5.99166666666667
1061,5.99166666666667
1063,5.99166666666667
1065,5.99166666666667
1067,5.99166666666667
1069,5.99166666666667
1071,5.99166666666667
1073,5.99166666666667
1075,5.99166666666667
1077,5.99166666666667
1079,5.99166666666667
1081,5.99166666666667
1083,5.99166666666667
1085,5.99166666666667
1087,5.99166666666667
1089,5.99166666666667
1091,5.99166666666667
1093,5.99166666666667
1095,5.99166666666667
1097,5.99166666666667
1099,5.99166666666667
1101,5.99166666666667
1103,5.99166666666667
1105,5.99166666666667
1107,5.99166666666667
1109,5.99166666666667
1111,5.99166666666667
1113,5.99166666666667
1115,5.99166666666667
1117,5.99166666666667
1119,5.99166666666667
1121,5.99166666666667
1123,5.99166666666667
1125,5.99166666666667
1127,5.99166666666667
1129,5.99166666666667
1131,5.99166666666667
1133,5.99166666666667
2000,8.61111111111111
4001,7.28888888888889
4003,7.28888888888889
4005,7.28888888888889
4007,7.28888888888889
4009,7.28888888888889
4011,7.28888888888889
4012,7.28888888888889
4013,7.28888888888889
4015,7.28888888888889
4017,7.28888888888889
4019,7.28888888888889
4021,7.28888888888889
4023,7.28888888888889
4025,7.28888888888889
4027,7.28888888888889
5001,6.35
5003,6.35
5005,6.35
5007,6.35
5009,6.35
5011,6.35
5013,6.35
5015,6.35
5017,6.35
5019,6.35
5021,6.35
5023,6.35
5025,6.35
5027,6.35
5029,6.35
5031,6.35
5033,6.35
5035,6.35
5037,6.35
5039,6.35
5041,6.35
5043,6.35
5045,6.35
5047,6.35
5049,6.35
5051,6.35
5053,6.35
5055,6.35
5057,6.35
5059,6.35
5061,6.35
5063,6.35
5065,6.35
5067,6.35
5069,6.35
5071,6.35
5073,6.35
5075,6.35
5077,6.35
5079,6.35
5081,6.35
5083,6.35
5085,6.35
5087,6.35
5089,6.35
5091,6.35
5093,6.35
5095,6.35
5097,6.35
5099,6.35
5101,6.35
