COUNTY,...2,BIDEN,TRUMP,OTHER,VOTE MARGIN,POPULATION,state,x,pct_in
Los Angeles County,98% in,0.712,0.268,0.021,D +44,10098052,California,NA,NA
San Diego County,92% in,0.602,0.375,0.023,D +23,3302833,California,NA,NA
Orange County,95% in,0.535,0.444,0.021,D +9,3164182,California,NA,NA
Riverside County,99% in,0.533,0.448,0.019,D +8,2383286,California,NA,NA
San Bernardino County,100% in,0.542,0.435,0.022,D +11,2135413,California,NA,NA
Santa Clara County,98% in,0.727,0.252,0.021,D +48,1922200,California,NA,NA
Alameda County,100% in,0.802,0.177,0.021,D +63,1643700,California,NA,NA
Sacramento County,100% in,0.616,0.359,0.024,D +26,1510023,California,NA,NA
Contra Costa County,100% in,0.718,0.262,0.021,D +46,1133247,California,NA,NA
Fresno County,99% in,0.529,0.451,0.02,D +8,978130,California,NA,NA
Kern County,97% in,0.44,0.536,0.024,R +10,883053,California,NA,NA
San Francisco County,93% in,0.853,0.127,0.02,D +73,870044,California,NA,NA
Ventura County,100% in,0.595,0.383,0.021,D +21,848112,California,NA,NA
San Mateo County,100% in,0.779,0.202,0.019,D +58,765935,California,NA,NA
San Joaquin County,88% in,0.568,0.412,0.02,D +16,732212,California,NA,NA
Stanislaus County,100% in,0.493,0.485,0.023,D +1,539301,California,NA,NA
Sonoma County,98% in,0.747,0.229,0.024,D +52,501317,California,NA,NA
Tulare County,88% in,0.45,0.528,0.021,R +8,460477,California,NA,NA
Santa Barbara County,94% in,0.65,0.327,0.023,D +32,443738,California,NA,NA
Solano County,100% in,0.64,0.337,0.024,D +30,438530,California,NA,NA
Monterey County,97% in,0.697,0.281,0.022,D +42,433212,California,NA,NA
Placer County,100% in,0.457,0.52,0.024,R +6,380077,California,NA,NA
San Luis Obispo County,98% in,0.555,0.421,0.024,D +13,281455,California,NA,NA
Santa Cruz County,95% in,0.79,0.186,0.025,D +60,273765,California,NA,NA
Merced County,100% in,0.541,0.436,0.024,D +10,269075,California,NA,NA
Marin County,94% in,0.825,0.156,0.018,D +67,260295,California,NA,NA
Butte County,90% in,0.495,0.477,0.028,D +2,227075,California,NA,NA
Yolo County,78% in,0.715,0.264,0.021,D +45,214977,California,NA,NA
El Dorado County,100% in,0.445,0.532,0.023,R +9,186661,California,NA,NA
Imperial County,85% in,0.622,0.357,0.021,D +26,180216,California,NA,NA
Shasta County,97% in,0.325,0.653,0.022,R +33,179085,California,NA,NA
Madera County,97% in,0.43,0.548,0.022,R +12,155013,California,NA,NA
Kings County,96% in,0.423,0.553,0.025,R +13,150075,California,NA,NA
Napa County,95% in,0.692,0.286,0.022,D +41,140530,California,NA,NA
Humboldt County,82% in,0.662,0.31,0.028,D +35,135768,California,NA,NA
Nevada County,97% in,0.561,0.415,0.025,D +15,99092,California,NA,NA
Sutter County,100% in,0.407,0.572,0.021,R +17,95872,California,NA,NA
Mendocino County,58% in,0.727,0.251,0.022,D +48,87422,California,NA,NA
Yuba County,100% in,0.379,0.593,0.028,R +21,75493,California,NA,NA
Lake County,39% in,0.623,0.358,0.019,D +26,64148,California,NA,NA
Tehama County,96% in,0.317,0.661,0.022,R +34,63373,California,NA,NA
San Benito County,96% in,0.612,0.368,0.021,D +24,59416,California,NA,NA
Tuolumne County,97% in,0.396,0.58,0.024,R +18,53932,California,NA,NA
Calaveras County,97% in,0.369,0.61,0.022,R +24,45235,California,NA,NA
Siskiyou County,98% in,0.409,0.567,0.024,R +16,43540,California,NA,NA
Amador County,97% in,0.366,0.609,0.025,R +24,37829,California,NA,NA
Lassen County,95% in,0.235,0.747,0.018,R +51,31185,California,NA,NA
Glenn County,86% in,0.35,0.629,0.02,R +28,27897,California,NA,NA
Del Norte County,94% in,0.408,0.564,0.027,R +16,27424,California,NA,NA
Colusa County,94% in,0.406,0.573,0.021,R +17,21464,California,NA,NA
Plumas County,97% in,0.408,0.571,0.022,R +16,18699,California,NA,NA
Inyo County,95% in,0.489,0.487,0.024,D +0,18085,California,NA,NA
Mariposa County,92% in,0.398,0.579,0.024,R +18,17540,California,NA,NA
Mono County,92% in,0.596,0.373,0.031,D +22,14174,California,NA,NA
Trinity County,12% in,0.378,0.567,0.054,R +19,12862,California,NA,NA
Modoc County,82% in,0.279,0.701,0.02,R +42,8938,California,NA,NA
Sierra County,87% in,0.378,0.592,0.03,R +21,2930,California,NA,NA
Alpine County,80% in,0.647,0.326,0.027,D +32,1146,California,NA,NA
Clark County,100% in,0.537,0.443,0.02,D +9,2141574,Nevada,NA,NA
Washoe County,100% in,0.508,0.463,0.029,D +5,450486,Nevada,NA,NA
Carson City,100% in,0.428,0.542,0.03,R +11,54467,Nevada,NA,NA
Lyon County,100% in,0.28,0.692,0.028,R +41,53155,Nevada,NA,NA
Elko County,100% in,0.207,0.762,0.03,R +55,52252,Nevada,NA,NA
Douglas County,100% in,0.339,0.634,0.027,R +29,47828,Nevada,NA,NA
Nye County,100% in,0.287,0.691,0.022,R +40,43705,Nevada,NA,NA
Churchill County,100% in,0.237,0.727,0.036,R +49,24010,Nevada,NA,NA
Humboldt County,100% in,0.217,0.756,0.026,R +54,16904,Nevada,NA,NA
White Pine County,100% in,0.197,0.779,0.024,R +58,9737,Nevada,NA,NA
Pershing County,100% in,0.236,0.746,0.018,R +51,6611,Nevada,NA,NA
Lander County,100% in,0.179,0.795,0.026,R +62,5746,Nevada,NA,NA
Lincoln County,100% in,0.135,0.845,0.02,R +71,5174,Nevada,NA,NA
Mineral County,100% in,0.355,0.609,0.036,R +25,4448,Nevada,NA,NA
Storey County,100% in,0.314,0.663,0.023,R +35,3941,Nevada,NA,NA
Eureka County,100% in,0.103,0.88,0.017,R +78,1830,Nevada,NA,NA
Esmeralda County,100% in,0.152,0.821,0.027,R +67,981,Nevada,NA,NA
King County,>99% in,0.755,0.224,0.021,D +53,2163257,Washington,NA,NA
Pierce County,100% in,0.542,0.429,0.029,D +11,859840,Washington,NA,NA
Snohomish County,>99% in,0.59,0.382,0.029,D +21,786620,Washington,NA,NA
Spokane County,99% in,0.463,0.506,0.03,R +4,497875,Washington,NA,NA
Clark County,100% in,0.513,0.462,0.025,D +5,465384,Washington,NA,NA
Thurston County,99% in,0.579,0.391,0.03,D +19,274684,Washington,NA,NA
Kitsap County,100% in,0.573,0.391,0.037,D +18,262475,Washington,NA,NA
Yakima County,98% in,0.451,0.528,0.021,R +8,249325,Washington,NA,NA
Whatcom County,98% in,0.608,0.367,0.025,D +24,216812,Washington,NA,NA
Benton County,98% in,0.377,0.591,0.031,R +21,194168,Washington,NA,NA
Skagit County,94% in,0.525,0.449,0.026,D +8,123907,Washington,NA,NA
Cowlitz County,97% in,0.399,0.574,0.027,R +17,105112,Washington,NA,NA
Grant County,95% in,0.314,0.662,0.024,R +35,94860,Washington,NA,NA
Franklin County,93% in,0.413,0.561,0.026,R +15,90660,Washington,NA,NA
Island County,96% in,0.546,0.424,0.029,D +12,81636,Washington,NA,NA
Lewis County,96% in,0.322,0.653,0.026,R +33,76947,Washington,NA,NA
Chelan County,95% in,0.448,0.53,0.021,R +8,75757,Washington,NA,NA
Clallam County,96% in,0.504,0.471,0.025,D +3,74487,Washington,NA,NA
Grays Harbor County,95% in,0.455,0.519,0.026,R +6,71967,Washington,NA,NA
Mason County,100% in,0.466,0.504,0.03,R +4,62627,Washington,NA,NA
Walla Walla County,88% in,0.449,0.523,0.029,R +7,60236,Washington,NA,NA
Whitman County,91% in,0.532,0.435,0.033,D +10,48593,Washington,NA,NA
Kittitas County,91% in,0.433,0.542,0.025,R +11,44825,Washington,NA,NA
Stevens County,93% in,0.28,0.699,0.021,R +42,44214,Washington,NA,NA
Okanogan County,91% in,0.42,0.56,0.019,R +14,41638,Washington,NA,NA
Douglas County,100% in,0.369,0.612,0.02,R +24,41371,Washington,NA,NA
Jefferson County,92% in,0.698,0.281,0.021,D +42,30856,Washington,NA,NA
Asotin County,86% in,0.359,0.615,0.026,R +26,22337,Washington,NA,NA
Klickitat County,86% in,0.442,0.537,0.021,R +9,21396,Washington,NA,NA
Pacific County,86% in,0.485,0.496,0.019,R +1,21281,Washington,NA,NA
Adams County,100% in,0.309,0.671,0.02,R +36,19452,Washington,NA,NA
San Juan County,83% in,0.745,0.232,0.023,D +51,16473,Washington,NA,NA
Pend Oreille County,75% in,0.306,0.672,0.023,R +37,13219,Washington,NA,NA
Skamania County,75% in,0.439,0.535,0.026,R +10,11620,Washington,NA,NA
Lincoln County,75% in,0.245,0.736,0.019,R +49,10435,Washington,NA,NA
Ferry County,50% in,0.341,0.637,0.021,R +30,7576,Washington,NA,NA
Wahkiakum County,50% in,0.393,0.585,0.022,R +19,4189,Washington,NA,NA
Columbia County,100% in,0.269,0.707,0.024,R +44,4001,Washington,NA,NA
Garfield County,100% in,0.246,0.722,0.031,R +48,2224,Washington,NA,NA
Baker County,100% in,0.237,0.744,0.019,R +51,15984,Oregon,NA,NA
Benton County,96% in,0.685,0.284,0.031,D +40,89780,Oregon,NA,NA
Clackamas County,100% in,0.544,0.432,0.024,D +11,405788,Oregon,NA,NA
Clatsop County,97% in,0.546,0.428,0.026,D +12,38562,Oregon,NA,NA
Columbia County,100% in,0.432,0.536,0.032,R +10,50851,Oregon,NA,NA
Coos County,94% in,0.386,0.592,0.022,R +21,63308,Oregon,NA,NA
Crook County,94% in,0.246,0.736,0.018,R +49,22337,Oregon,NA,NA
Curry County,96% in,0.408,0.571,0.021,R +16,22507,Oregon,NA,NA
Deschutes County,96% in,0.531,0.449,0.021,D +8,180640,Oregon,NA,NA
Douglas County,96% in,0.299,0.677,0.024,R +38,108323,Oregon,NA,NA
Gilliam County,100% in,0.276,0.709,0.015,R +43,1907,Oregon,NA,NA
Grant County,80% in,0.203,0.775,0.022,R +57,7183,Oregon,NA,NA
Harney County,67% in,0.201,0.781,0.018,R +58,7228,Oregon,NA,NA
Hood River County,92% in,0.675,0.304,0.021,D +37,23131,Oregon,NA,NA
Jackson County,96% in,0.469,0.507,0.024,R +4,214267,Oregon,NA,NA
Jefferson County,100% in,0.37,0.606,0.024,R +24,23143,Oregon,NA,NA
Josephine County,98% in,0.359,0.62,0.022,R +26,85481,Oregon,NA,NA
Klamath County,100% in,0.284,0.693,0.024,R +41,66310,Oregon,NA,NA
Lake County,100% in,0.183,0.799,0.018,R +62,7843,Oregon,NA,NA
Lane County,99% in,0.609,0.364,0.026,D +24,368882,Oregon,NA,NA
Lincoln County,100% in,0.569,0.407,0.024,D +16,47881,Oregon,NA,NA
Linn County,100% in,0.367,0.603,0.03,R +24,122870,Oregon,NA,NA
Malheur County,96% in,0.276,0.698,0.026,R +42,30431,Oregon,NA,NA
Marion County,99% in,0.492,0.481,0.027,D +1,335553,Oregon,NA,NA
Morrow County,80% in,0.267,0.705,0.028,R +44,11215,Oregon,NA,NA
Multnomah County,100% in,0.799,0.18,0.021,D +62,798647,Oregon,NA,NA
Polk County,94% in,0.478,0.495,0.027,R +2,81427,Oregon,NA,NA
Sherman County,80% in,0.215,0.764,0.021,R +55,1605,Oregon,NA,NA
Tillamook County,100% in,0.478,0.499,0.023,R +2,26076,Oregon,NA,NA
Umatilla County,98% in,0.324,0.649,0.027,R +32,76898,Oregon,NA,NA
Union County,95% in,0.286,0.693,0.021,R +41,26028,Oregon,NA,NA
Wallowa County,92% in,0.317,0.663,0.02,R +35,6924,Oregon,NA,NA
Wasco County,93% in,0.468,0.504,0.028,R +4,25866,Oregon,NA,NA
Washington County,99% in,0.661,0.313,0.027,D +35,581821,Oregon,NA,NA
Wheeler County,67% in,0.226,0.741,0.033,R +52,1426,Oregon,NA,NA
Yamhill County,100% in,0.465,0.504,0.031,R +4,103820,Oregon,NA,NA
Beaver County,100% in,0.116,0.869,0.015,R +75,6443,Utah,NA,NA
Box Elder County,100% in,0.166,0.797,0.037,R +63,53001,Utah,NA,NA
Cache County,100% in,0.289,0.661,0.05,R +37,122336,Utah,NA,NA
Carbon County,100% in,0.261,0.709,0.029,R +45,20356,Utah,NA,NA
Daggett County,100% in,0.178,0.802,0.02,R +62,612,Utah,NA,NA
Davis County,>99% in,0.339,0.613,0.049,R +27,340621,Utah,NA,NA
Duchesne County,96% in,0.098,0.882,0.02,R +78,20219,Utah,NA,NA
Emery County,100% in,0.118,0.865,0.017,R +75,10248,Utah,NA,NA
Garfield County,95% in,0.188,0.79,0.022,R +60,5017,Utah,NA,NA
Grand County,97% in,0.544,0.431,0.025,D +11,9616,Utah,NA,NA
Iron County,96% in,0.197,0.763,0.04,R +57,49691,Utah,NA,NA
Juab County,100% in,0.11,0.867,0.023,R +76,10948,Utah,NA,NA
Kane County,100% in,0.259,0.717,0.024,R +46,7350,Utah,NA,NA
Millard County,93% in,0.103,0.876,0.021,R +77,12733,Utah,NA,NA
Morgan County,88% in,0.17,0.793,0.038,R +62,11391,Utah,NA,NA
Piute County,100% in,0.099,0.888,0.014,R +79,1904,Utah,NA,NA
Rich County,100% in,0.132,0.849,0.019,R +72,2350,Utah,NA,NA
Salt Lake County,100% in,0.536,0.425,0.039,D +11,1120805,Utah,NA,NA
San Juan County,100% in,0.451,0.516,0.033,R +6,15281,Utah,NA,NA
Sanpete County,96% in,0.142,0.828,0.03,R +69,29366,Utah,NA,NA
Sevier County,98% in,0.105,0.874,0.022,R +77,21118,Utah,NA,NA
Summit County,96% in,0.588,0.39,0.022,D +20,40511,Utah,NA,NA
Tooele County,100% in,0.284,0.667,0.049,R +38,65185,Utah,NA,NA
Uintah County,96% in,0.109,0.867,0.024,R +76,36323,Utah,NA,NA
Utah County,97% in,0.268,0.678,0.054,R +41,590440,Utah,NA,NA
Wasatch County,100% in,0.354,0.612,0.034,R +26,30523,Utah,NA,NA
Washington County,99% in,0.227,0.744,0.029,R +52,160537,Utah,NA,NA
Wayne County,100% in,0.225,0.758,0.017,R +53,2694,Utah,NA,NA
Weber County,100% in,0.366,0.591,0.043,R +23,247731,Utah,NA,NA
Bernalillo County,NA,0.609,0.36700000000000005,0.024,NA,NA,New Mexico,"Bernalillo County100% in60.9%36.7%2.4%D +24677,692",100% in
Do,NA,0.58,0.397,0.023,NA,NA,New Mexico,"Doña Ana County100% in58.0%39.7%2.3%D +18215,338",100% in
Santa Fe County,NA,0.76,0.223,0.017,NA,NA,New Mexico,"Santa Fe County100% in76.0%22.3%1.7%D +54148,917",100% in
Sandoval County,NA,0.53,0.446,0.024,NA,NA,New Mexico,"Sandoval County100% in53.0%44.6%2.4%D +8140,769",100% in
San Juan County,NA,0.34600000000000003,0.629,0.026000000000000002,NA,NA,New Mexico,"San Juan County100% in34.6%62.9%2.6%R +28127,455",100% in
Valencia County,NA,0.442,0.5379999999999999,0.02,NA,NA,New Mexico,"Valencia County100% in44.2%53.8%2.0%R +1075,956",100% in
McKinley County,NA,0.68,0.295,0.025,NA,NA,New Mexico,"McKinley County100% in68.0%29.5%2.5%D +3972,849",100% in
Lea County,NA,0.19399999999999998,0.79,0.016,NA,NA,New Mexico,"Lea County100% in19.4%79.0%1.6%R +6070,126",100% in
Otero County,NA,0.36,0.616,0.024,NA,NA,New Mexico,"Otero County100% in36.0%61.6%2.4%R +2665,745",100% in
Chaves County,NA,0.284,0.698,0.018000000000000002,NA,NA,New Mexico,"Chaves County100% in28.4%69.8%1.8%R +4165,459",100% in
Eddy County,NA,0.23399999999999999,0.752,0.015,NA,NA,New Mexico,"Eddy County100% in23.4%75.2%1.5%R +5257,437",100% in
Curry County,NA,0.285,0.6920000000000001,0.023,NA,NA,New Mexico,"Curry County100% in28.5%69.2%2.3%R +4150,199",100% in
Rio Arriba County,NA,0.6609999999999999,0.325,0.013999999999999999,NA,NA,New Mexico,"Rio Arriba County100% in66.1%32.5%1.4%D +3439,307",100% in
Taos County,NA,0.765,0.215,0.02,NA,NA,New Mexico,"Taos County100% in76.5%21.5%2.0%D +5532,888",100% in
Grant County,NA,0.526,0.45399999999999996,0.02,NA,NA,New Mexico,"Grant County100% in52.6%45.4%2.0%D +728,061",100% in
San Miguel County,NA,0.684,0.297,0.019,NA,NA,New Mexico,"San Miguel County100% in68.4%29.7%1.9%D +3928,034",100% in
Cibola County,NA,0.5329999999999999,0.446,0.021,NA,NA,New Mexico,"Cibola County100% in53.3%44.6%2.1%D +926,978",100% in
Luna County,NA,0.44,0.544,0.016,NA,NA,New Mexico,"Luna County100% in44.0%54.4%1.6%R +1024,264",100% in
Lincoln County,NA,0.31,0.674,0.017,NA,NA,New Mexico,"Lincoln County100% in31.0%67.4%1.7%R +3619,482",100% in
Roosevelt County,NA,0.273,0.701,0.026000000000000002,NA,NA,New Mexico,"Roosevelt County100% in27.3%70.1%2.6%R +4319,117",100% in
Los Alamos County,NA,0.615,0.348,0.038,NA,NA,New Mexico,"Los Alamos County100% in61.5%34.8%3.8%D +2718,356",100% in
Socorro County,NA,0.52,0.455,0.026000000000000002,NA,NA,New Mexico,"Socorro County100% in52.0%45.5%2.6%D +717,000",100% in
Torrance County,NA,0.322,0.655,0.023,NA,NA,New Mexico,"Torrance County100% in32.2%65.5%2.3%R +3315,595",100% in
Colfax County,NA,0.434,0.544,0.022000000000000002,NA,NA,New Mexico,"Colfax County100% in43.4%54.4%2.2%R +1112,353",100% in
Sierra County,NA,0.381,0.596,0.023,NA,NA,New Mexico,"Sierra County100% in38.1%59.6%2.3%R +2111,135",100% in
Quay County,NA,0.302,0.68,0.018000000000000002,NA,NA,New Mexico,"Quay County100% in30.2%68.0%1.8%R +388,373",100% in
Mora County,NA,0.65,0.336,0.013999999999999999,NA,NA,New Mexico,"Mora County100% in65.0%33.6%1.4%D +314,563",100% in
Guadalupe County,NA,0.564,0.419,0.017,NA,NA,New Mexico,"Guadalupe County100% in56.4%41.9%1.7%D +154,382",100% in
Hidalgo County,NA,0.41700000000000004,0.5670000000000001,0.016,NA,NA,New Mexico,"Hidalgo County100% in41.7%56.7%1.6%R +154,371",100% in
Union County,NA,0.214,0.7759999999999999,0.01,NA,NA,New Mexico,"Union County100% in21.4%77.6%1.0%R +564,175",100% in
Catron County,NA,0.256,0.73,0.013999999999999999,NA,NA,New Mexico,"Catron County100% in25.6%73.0%1.4%R +473,539",100% in
De Baca County,NA,0.256,0.728,0.016,NA,NA,New Mexico,"De Baca County100% in25.6%72.8%1.6%R +472,060",100% in
Harding County,NA,0.354,0.632,0.013999999999999999,NA,NA,New Mexico,Harding County100% in35.4%63.2%1.4%R +28459,100% in
Denver County,NA,0.795,0.182,0.023,NA,NA,Colorado,"Denver County88% in79.5%18.2%2.3%D +61693,417",88% in
El Paso County,NA,0.42700000000000005,0.535,0.037000000000000005,NA,NA,Colorado,"El Paso County91% in42.7%53.5%3.7%R +11688,153",91% in
Arapahoe County,NA,0.61,0.364,0.026000000000000002,NA,NA,Colorado,"Arapahoe County95% in61.0%36.4%2.6%D +25636,671",95% in
Jefferson County,NA,0.579,0.39299999999999996,0.027999999999999997,NA,NA,Colorado,"Jefferson County97% in57.9%39.3%2.8%D +19570,427",97% in
Adams County,NA,0.5670000000000001,0.40399999999999997,0.028999999999999998,NA,NA,Colorado,"Adams County93% in56.7%40.4%2.9%D +16497,115",93% in
Larimer County,NA,0.562,0.408,0.03,NA,NA,Colorado,"Larimer County96% in56.2%40.8%3.0%D +15338,161",96% in
Douglas County,NA,0.452,0.524,0.024,NA,NA,Colorado,"Douglas County92% in45.2%52.4%2.4%R +7328,614",92% in
Boulder County,NA,0.772,0.20600000000000002,0.022000000000000002,NA,NA,Colorado,"Boulder County91% in77.2%20.6%2.2%D +57321,030",91% in
Weld County,NA,0.396,0.5760000000000001,0.028999999999999998,NA,NA,Colorado,"Weld County96% in39.6%57.6%2.9%R +18295,123",96% in
Pueblo County,NA,0.496,0.479,0.026000000000000002,NA,NA,Colorado,"Pueblo County92% in49.6%47.9%2.6%D +2164,685",92% in
Mesa County,NA,0.348,0.628,0.024,NA,NA,Colorado,"Mesa County100% in34.8%62.8%2.4%R +28149,998",100% in
Broomfield County,NA,0.624,0.349,0.027000000000000003,NA,NA,Colorado,"Broomfield County89% in62.4%34.9%2.7%D +2766,120",89% in
Garfield County,NA,0.499,0.47600000000000003,0.025,NA,NA,Colorado,"Garfield County93% in49.9%47.6%2.5%D +258,538",93% in
La Plata County,NA,0.5760000000000001,0.39899999999999997,0.025,NA,NA,Colorado,"La Plata County100% in57.6%39.9%2.5%D +1855,101",100% in
Eagle County,NA,0.638,0.33899999999999997,0.022000000000000002,NA,NA,Colorado,"Eagle County100% in63.8%33.9%2.2%D +3054,357",100% in
Fremont County,NA,0.28800000000000003,0.685,0.026000000000000002,NA,NA,Colorado,"Fremont County97% in28.8%68.5%2.6%R +4047,002",97% in
Montrose County,NA,0.308,0.6729999999999999,0.019,NA,NA,Colorado,"Montrose County93% in30.8%67.3%1.9%R +3641,268",93% in
Summit County,NA,0.6829999999999999,0.28800000000000003,0.028999999999999998,NA,NA,Colorado,"Summit County90% in68.3%28.8%2.9%D +4030,429",90% in
Delta County,NA,0.304,0.675,0.021,NA,NA,Colorado,"Delta County100% in30.4%67.5%2.1%R +3730,346",100% in
Morgan County,NA,0.282,0.698,0.02,NA,NA,Colorado,"Morgan County100% in28.2%69.8%2.0%R +4228,257",100% in
Montezuma County,NA,0.376,0.6,0.023,NA,NA,Colorado,"Montezuma County91% in37.6%60.0%2.3%R +2225,909",91% in
Elbert County,NA,0.23600000000000002,0.7390000000000001,0.025,NA,NA,Colorado,"Elbert County93% in23.6%73.9%2.5%R +5025,162",93% in
Routt County,NA,0.627,0.35100000000000003,0.022000000000000002,NA,NA,Colorado,"Routt County100% in62.7%35.1%2.2%D +2824,874",100% in
Teller County,NA,0.312,0.664,0.025,NA,NA,Colorado,"Teller County92% in31.2%66.4%2.5%R +3524,113",92% in
Logan County,NA,0.21100000000000002,0.768,0.022000000000000002,NA,NA,Colorado,"Logan County94% in21.1%76.8%2.2%R +5621,689",94% in
Chaffee County,NA,0.522,0.45399999999999996,0.024,NA,NA,Colorado,"Chaffee County89% in52.2%45.4%2.4%D +719,164",89% in
Otero County,NA,0.376,0.601,0.022000000000000002,NA,NA,Colorado,"Otero County94% in37.6%60.1%2.2%R +2218,325",94% in
Pitkin County,NA,0.752,0.233,0.016,NA,NA,Colorado,"Pitkin County90% in75.2%23.3%1.6%D +5217,909",90% in
Park County,NA,0.39899999999999997,0.569,0.032,NA,NA,Colorado,"Park County100% in39.9%56.9%3.2%R +1717,392",100% in
Gunnison County,NA,0.6409999999999999,0.331,0.028999999999999998,NA,NA,Colorado,"Gunnison County93% in64.1%33.1%2.9%D +3116,537",93% in
Alamosa County,NA,0.48100000000000004,0.488,0.03,NA,NA,Colorado,"Alamosa County100% in48.1%48.8%3.0%R +116,444",100% in
Grand County,NA,0.47700000000000004,0.495,0.027999999999999997,NA,NA,Colorado,"Grand County100% in47.7%49.5%2.8%R +215,066",100% in
Las Animas County,NA,0.439,0.5379999999999999,0.023,NA,NA,Colorado,"Las Animas County94% in43.9%53.8%2.3%R +1014,179",94% in
Moffat County,NA,0.171,0.807,0.022000000000000002,NA,NA,Colorado,"Moffat County92% in17.1%80.7%2.2%R +6413,060",92% in
Archuleta County,NA,0.409,0.568,0.024,NA,NA,Colorado,"Archuleta County100% in40.9%56.8%2.4%R +1612,908",100% in
Prowers County,NA,0.262,0.721,0.017,NA,NA,Colorado,"Prowers County92% in26.2%72.1%1.7%R +4612,052",92% in
Rio Grande County,NA,0.396,0.581,0.024,NA,NA,Colorado,"Rio Grande County100% in39.6%58.1%2.4%R +1811,351",100% in
Yuma County,NA,0.158,0.825,0.018000000000000002,NA,NA,Colorado,"Yuma County93% in15.8%82.5%1.8%R +6710,069",93% in
Clear Creek County,NA,0.55,0.42100000000000004,0.028999999999999998,NA,NA,Colorado,"Clear Creek County100% in55.0%42.1%2.9%D +139,379",100% in
Conejos County,NA,0.452,0.528,0.02,NA,NA,Colorado,"Conejos County100% in45.2%52.8%2.0%R +88,142",100% in
San Miguel County,NA,0.762,0.221,0.017,NA,NA,Colorado,"San Miguel County83% in76.2%22.1%1.7%D +547,968",83% in
Kit Carson County,NA,0.171,0.812,0.017,NA,NA,Colorado,"Kit Carson County100% in17.1%81.2%1.7%R +647,635",100% in
Lake County,NA,0.581,0.37799999999999995,0.040999999999999995,NA,NA,Colorado,"Lake County83% in58.1%37.8%4.1%D +207,585",83% in
Huerfano County,NA,0.47100000000000003,0.5,0.028999999999999998,NA,NA,Colorado,"Huerfano County100% in47.1%50.0%2.9%R +36,583",100% in
Saguache County,NA,0.556,0.41700000000000004,0.027000000000000003,NA,NA,Colorado,"Saguache County100% in55.6%41.7%2.7%D +146,468",100% in
Rio Blanco County,NA,0.152,0.8290000000000001,0.019,NA,NA,Colorado,"Rio Blanco County80% in15.2%82.9%1.9%R +686,465",80% in
Gilpin County,NA,0.531,0.43799999999999994,0.031,NA,NA,Colorado,"Gilpin County83% in53.1%43.8%3.1%D +95,924",83% in
Bent County,NA,0.322,0.6609999999999999,0.017,NA,NA,Colorado,"Bent County80% in32.2%66.1%1.7%R +345,809",80% in
Crowley County,NA,0.25,0.726,0.024,NA,NA,Colorado,"Crowley County100% in25.0%72.6%2.4%R +485,630",100% in
Lincoln County,NA,0.177,0.805,0.017,NA,NA,Colorado,"Lincoln County92% in17.7%80.5%1.7%R +635,548",92% in
Washington County,NA,0.12300000000000001,0.863,0.015,NA,NA,Colorado,"Washington County83% in12.3%86.3%1.5%R +744,840",83% in
Ouray County,NA,0.588,0.392,0.019,NA,NA,Colorado,"Ouray County100% in58.8%39.2%1.9%D +204,722",100% in
Custer County,NA,0.306,0.6809999999999999,0.013000000000000001,NA,NA,Colorado,"Custer County67% in30.6%68.1%1.3%R +374,640",67% in
Phillips County,NA,0.196,0.7879999999999999,0.017,NA,NA,Colorado,"Phillips County88% in19.6%78.8%1.7%R +594,318",88% in
Costilla County,NA,0.626,0.354,0.02,NA,NA,Colorado,"Costilla County100% in62.6%35.4%2.0%D +273,687",100% in
Baca County,NA,0.142,0.8390000000000001,0.018000000000000002,NA,NA,Colorado,"Baca County100% in14.2%83.9%1.8%R +703,563",100% in
Sedgwick County,NA,0.20800000000000002,0.775,0.017,NA,NA,Colorado,"Sedgwick County100% in20.8%77.5%1.7%R +572,350",100% in
Cheyenne County,NA,0.115,0.8740000000000001,0.011000000000000001,NA,NA,Colorado,"Cheyenne County80% in11.5%87.4%1.1%R +762,039",80% in
Dolores County,NA,0.235,0.752,0.013000000000000001,NA,NA,Colorado,"Dolores County75% in23.5%75.2%1.3%R +521,841",75% in
Kiowa County,NA,0.10800000000000001,0.88,0.011000000000000001,NA,NA,Colorado,"Kiowa County75% in10.8%88.0%1.1%R +771,449",75% in
Jackson County,NA,0.2,0.777,0.023,NA,NA,Colorado,"Jackson County100% in20.0%77.7%2.3%R +581,296",100% in
Hinsdale County,NA,0.40399999999999997,0.5589999999999999,0.038,NA,NA,Colorado,Hinsdale County100% in40.4%55.9%3.8%R +15878,100% in
Mineral County,NA,0.419,0.565,0.016,NA,NA,Colorado,Mineral County100% in41.9%56.5%1.6%R +15823,100% in
San Juan County,NA,0.609,0.359,0.032,NA,NA,Colorado,San Juan County100% in60.9%35.9%3.2%D +25544,100% in
Laramie County,NA,0.625,0.341,0.035,NA,NA,Wyoming,"Laramie County100% in62.5%34.1%3.5%R +2897,692",100% in
Natrona County,NA,0.722,0.244,0.034,NA,NA,Wyoming,"Natrona County100% in72.2%24.4%3.4%R +4880,610",100% in
Campbell County,NA,0.872,0.099,0.028999999999999998,NA,NA,Wyoming,"Campbell County100% in87.2%9.9%2.9%R +7747,708",100% in
Sweetwater County,NA,0.74,0.231,0.027999999999999997,NA,NA,Wyoming,"Sweetwater County100% in74.0%23.1%2.8%R +5144,117",100% in
